פעל 	עזר 	ראשון	זכר 	יחיד	_ז_נתי
התפעל 	עזר 	שני 	זכר 	רבים	ה_זד_ו_נתם
התפעל 	עזר 	שני 	נקבה	רבים	ה_זד_ו_נתן
התפעל 	עזר 	שלישי	זכר 	רבים	ה_זד_ו_נו
התפעל 	עזר 	שלישי	נקבה	רבים	ה_זד_ו_נו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_זד_ו_נ
התפעל 	הווה	ראשון	נקבה	יחיד	מ_זד_ו_נת
התפעל 	הווה	שני 	זכר 	יחיד	מ_זד_ו_נ
התפעל 	הווה	שני 	נקבה	יחיד	מ_זד_ו_נת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_זד_ו_נ
התפעל 	הווה	שלישי	נקבה	יחיד	מ_זד_ו_נת
התפעל 	הווה	ראשון	זכר 	רבים	מ_זד_ו_נים
התפעל 	הווה	ראשון	נקבה	רבים	מ_זד_ו_נות
התפעל 	הווה	שני 	זכר 	רבים	מ_זד_ו_נים
התפעל 	הווה	שני 	נקבה	רבים	מ_זד_ו_נות
התפעל 	הווה	שלישי	זכר 	רבים	מ_זד_ו_נים
התפעל 	הווה	שלישי	נקבה	רבים	מ_זד_ו_נות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_זד_ו_נ
התפעל 	עתיד	ראשון	נקבה	יחיד	א_זד_ו_נ
התפעל 	עתיד	שני 	זכר 	יחיד	ת_זד_ו_נ
התפעל 	עתיד	שני 	נקבה	יחיד	ת_זד_ו_ני
התפעל 	עתיד	שלישי	זכר 	יחיד	י_זד_ו_נ
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_זד_ו_נ
התפעל 	עתיד	ראשון	זכר 	רבים	נ_זד_ו_נ
התפעל 	עתיד	ראשון	נקבה	רבים	נ_זד_ו_נ
התפעל 	עתיד	שני 	זכר 	רבים	_זד_ו_נו
התפעל 	עתיד	שני 	נקבה	רבים	ת_זד_ו_נה
התפעל 	עתיד	שלישי	זכר 	רבים	י_זד_ו_נו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_זד_ו_נה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_זד_ו_נ
התפעל 	ציווי	שני 	נקבה	יחיד	ה_זד_ו_ני
התפעל 	ציווי	שני 	זכר 	רבים	ה_זד_ו_נו
התפעל 	ציווי	שני 	נקבה	רבים	ה_זד_ו_נה
התפעל 	עזר 	ראשון	זכר 	יחיד	ה_זד_ו_ו_נתי
התפעל 	עזר 	ראשון	נקבה	יחיד	ה_זד_ו_ו_נתי
התפעל 	עזר 	שני 	זכר 	יחיד	ה_זד_ו_ו_נת
התפעל 	עזר 	שני 	נקבה	יחיד	ה_זד_ו_ו_נת
התפעל 	עזר 	שלישי	זכר 	יחיד	ה_זד_ו_ו_נ
התפעל 	עזר 	שלישי	נקבה	יחיד	ה_זד_ו_ו_נה
התפעל 	עזר 	ראשון	זכר 	רבים	ה_זד_ו_ו_נו
התפעל 	עזר 	ראשון	נקבה	רבים	ה_זד_ו_ו_נו
התפעל 	עזר 	שני 	זכר 	רבים	ה_זד_ו_ו_נתם
התפעל 	עזר 	שני 	נקבה	רבים	ה_זד_ו_ו_נתן
התפעל 	עזר 	שלישי	זכר 	רבים	ה_זד_ו_ו_נו
התפעל 	עזר 	שלישי	נקבה	רבים	ה_זד_ו_ו_נו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_זד_ו_ו_נ
התפעל 	הווה	ראשון	נקבה	יחיד	מ_זד_ו_ו_נת
התפעל 	הווה	שני 	זכר 	יחיד	מ_זד_ו_ו_נ
התפעל 	הווה	שני 	נקבה	יחיד	מ_זד_ו_ו_נת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_זד_ו_ו_נ
התפעל 	הווה	שלישי	נקבה	יחיד	מ_זד_ו_ו_נת
התפעל 	הווה	ראשון	זכר 	רבים	מ_זד_ו_ו_נים
התפעל 	הווה	ראשון	נקבה	רבים	מ_זד_ו_ו_נות
התפעל 	הווה	שני 	זכר 	רבים	מ_זד_ו_ו_נים
התפעל 	הווה	שני 	נקבה	רבים	מ_זד_ו_ו_נות
התפעל 	הווה	שלישי	זכר 	רבים	מ_זד_ו_ו_נים
התפעל 	הווה	שלישי	נקבה	רבים	מ_זד_ו_ו_נות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_זד_ו_ו_נ
התפעל 	עתיד	ראשון	נקבה	יחיד	א_זד_ו_ו_נ
התפעל 	עתיד	שני 	זכר 	יחיד	ת_זד_ו_ו_נ
התפעל 	עתיד	שני 	נקבה	יחיד	ת_זד_ו_ו_ני
התפעל 	עתיד	שלישי	זכר 	יחיד	י_זד_ו_ו_נ
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_זד_ו_ו_נ
התפעל 	עתיד	ראשון	זכר 	רבים	נ_זד_ו_ו_נ
התפעל 	עתיד	ראשון	נקבה	רבים	נ_זד_ו_ו_נ
התפעל 	עתיד	שני 	זכר 	רבים	_זד_ו_ו_נו
התפעל 	עתיד	שני 	נקבה	רבים	ת_זד_ו_ו_נה
התפעל 	עתיד	שלישי	זכר 	רבים	י_זד_ו_ו_נו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_זד_ו_ו_נה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_זד_ו_ו_נ
התפעל 	ציווי	שני 	נקבה	יחיד	ה_זד_ו_ו_ני
התפעל 	ציווי	שני 	זכר 	רבים	ה_זד_ו_ו_נו
התפעל 	ציווי	שני 	נקבה	רבים	ה_זד_ו_ו_נה
פיעל	עזר 	ראשון	זכר 	יחיד	_זו_נתי
פיעל	עזר 	ראשון	נקבה	יחיד	_זו_נתי
פיעל	עזר 	שני 	זכר 	יחיד	_זו_נת
פיעל	עזר 	שני 	נקבה	יחיד	_זו_נת
פיעל	עזר 	שלישי	זכר 	יחיד	_זו_נ
פיעל	עזר 	שלישי	נקבה	יחיד	_זו_נ
פיעל	עזר 	ראשון	זכר 	רבים	_זו_נו
פיעל	עזר 	ראשון	נקבה	רבים	_זו_נו
פיעל	עזר 	שני 	זכר 	רבים	_זו_נתם
פיעל	עזר 	שני 	נקבה	רבים	_זו_נתן
פיעל	עזר 	שלישי	זכר 	רבים	_זו_נו
פיעל	עזר 	שלישי	נקבה	רבים	_זו_נו
פיעל	הווה	ראשון	זכר 	יחיד	מ_זו_נ
פיעל	הווה	ראשון	נקבה	יחיד	מ_זו_נת
פיעל	הווה	שני 	זכר 	יחיד	מ_זו_נ
פיעל	הווה	שני 	נקבה	יחיד	מ_זו_נת
פיעל	הווה	שלישי	זכר 	יחיד	מ_זו_נ
פיעל	הווה	שלישי	נקבה	יחיד	מ_זו_נת
פיעל	הווה	ראשון	זכר 	רבים	מ_זו_נים
פיעל	הווה	ראשון	נקבה	רבים	מ_זו_נות
פיעל	הווה	שני 	זכר 	רבים	מ_זו_נים
פיעל	הווה	שני 	נקבה	רבים	מ_זו_נות
פיעל	הווה	שלישי	זכר 	רבים	מ_זו_נים
פיעל	הווה	שלישי	נקבה	רבים	מ_זו_נות
פיעל	עתיד	ראשון	זכר 	יחיד	א_זו_נ
פיעל	עתיד	ראשון	נקבה	יחיד	א_זו_נ
פיעל	עתיד	שני 	זכר 	יחיד	ת_זו_נ
פיעל	עתיד	שני 	נקבה	יחיד	ת_זו_ני
פיעל	עתיד	שלישי	זכר 	יחיד	י_זו_נ
פיעל	עתיד	שלישי	נקבה	יחיד	ת_זו_נ
פיעל	עתיד	ראשון	זכר 	רבים	נ_זו_נ
פיעל	עתיד	ראשון	נקבה	רבים	נ_זו_נ
פיעל	עתיד	שני 	זכר 	רבים	ת_זו_נו
פיעל	עתיד	שני 	נקבה	רבים	ת_זו_נו
פיעל	עתיד	שלישי	זכר 	רבים	י_זו_נו
פיעל	עתיד	שלישי	נקבה	רבים	ת_זו_נה
פיעל	ציווי	שני 	זכר 	יחיד	_זו_נ
פיעל	ציווי	שני 	נקבה	יחיד	_זו_ני
פיעל	ציווי	שני 	זכר 	רבים	_זו_נו
פיעל	ציווי	שני 	נקבה	רבים	_זו_נה
פועל	עזר 	ראשון	זכר 	יחיד	_זו_נתי
פועל	עזר 	ראשון	נקבה	יחיד	_זו_נתי
פועל	עזר 	שני 	זכר 	יחיד	_זו_נת
פועל	עזר 	שני 	נקבה	יחיד	_זו_נת
פועל	עזר 	שלישי	זכר 	יחיד	_זו_נ
פועל	עזר 	שלישי	נקבה	יחיד	_זו_נ
פועל	עזר 	ראשון	זכר 	רבים	_זו_נו
פועל	עזר 	ראשון	נקבה	רבים	_זו_נו
פועל	עזר 	שני 	זכר 	רבים	_זו_נתם
פועל	עזר 	שני 	נקבה	רבים	_זו_נתן
פועל	עזר 	שלישי	זכר 	רבים	_זו_נו
פועל	עזר 	שלישי	נקבה	רבים	_זו_נו
פועל	הווה	ראשון	זכר 	יחיד	מ_זו_נ
פועל	הווה	ראשון	נקבה	יחיד	מ_זו_נת
פועל	הווה	שני 	זכר 	יחיד	מ_זו_נ
פועל	הווה	שני 	נקבה	יחיד	מ_זו_נת
פועל	הווה	שלישי	זכר 	יחיד	מ_זו_נ
פועל	הווה	שלישי	נקבה	יחיד	מ_זו_נת
פועל	הווה	ראשון	זכר 	רבים	מ_זו_נים
פועל	הווה	ראשון	נקבה	רבים	מ_זו_נות
פועל	הווה	שני 	זכר 	רבים	מ_זו_נים
פועל	הווה	שני 	נקבה	רבים	מ_זו_נות
פועל	הווה	שלישי	זכר 	רבים	מ_זו_נים
פועל	הווה	שלישי	נקבה	רבים	מ_זו_נות
פועל	עתיד	ראשון	זכר 	יחיד	א_זו_נ
פועל	עתיד	ראשון	נקבה	יחיד	א_זו_נ
פועל	עתיד	שני 	זכר 	יחיד	ת_זו_נ
פועל	עתיד	שני 	נקבה	יחיד	ת_זו_ני
פועל	עתיד	שלישי	זכר 	יחיד	י_זו_נ
פועל	עתיד	שלישי	נקבה	יחיד	ת_זו_נ
פועל	עתיד	ראשון	זכר 	רבים	נ_זו_נ
פועל	עתיד	ראשון	נקבה	רבים	נ_זו_נ
פועל	עתיד	שני 	זכר 	רבים	ת_זו_נו
פועל	עתיד	שני 	נקבה	רבים	ת_זו_נו
פועל	עתיד	שלישי	זכר 	רבים	י_זו_נו
פועל	עתיד	שלישי	נקבה	רבים	ת_זו_נה
התפעל 	עזר 	ראשון	זכר 	יחיד	ה_זדו_נתי
התפעל 	עזר 	ראשון	נקבה	יחיד	ה_זדו_נתי
התפעל 	עזר 	שני 	זכר 	יחיד	ה_זדו_נת
התפעל 	עזר 	שני 	נקבה	יחיד	ה_זדו_נת
התפעל 	עזר 	שלישי	זכר 	יחיד	ה_זדו_נ
התפעל 	עזר 	שלישי	נקבה	יחיד	ה_זדו_נה
התפעל 	עזר 	ראשון	זכר 	רבים	ה_זדו_נו
התפעל 	עזר 	ראשון	נקבה	רבים	ה_זדו_נו
התפעל 	עזר 	שני 	זכר 	רבים	ה_זדו_נתם
התפעל 	עזר 	שני 	נקבה	רבים	ה_זדו_נתן
התפעל 	עזר 	שלישי	זכר 	רבים	ה_זדו_נו
התפעל 	עזר 	שלישי	נקבה	רבים	ה_זדו_נו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_זדו_נ
התפעל 	הווה	ראשון	נקבה	יחיד	מ_זדו_נת
התפעל 	הווה	שני 	זכר 	יחיד	מ_זדו_נ
התפעל 	הווה	שני 	נקבה	יחיד	מ_זדו_נת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_זדו_נ
התפעל 	הווה	שלישי	נקבה	יחיד	מ_זדו_נת
התפעל 	הווה	ראשון	זכר 	רבים	מ_זדו_נים
התפעל 	הווה	ראשון	נקבה	רבים	מ_זדו_נות
התפעל 	הווה	שני 	זכר 	רבים	מ_זדו_נים
התפעל 	הווה	שני 	נקבה	רבים	מ_זדו_נות
התפעל 	הווה	שלישי	זכר 	רבים	מ_זדו_נים
התפעל 	הווה	שלישי	נקבה	רבים	מ_זדו_נות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_זדו_נ
התפעל 	עתיד	ראשון	נקבה	יחיד	א_זדו_נ
התפעל 	עתיד	שני 	זכר 	יחיד	ת_זדו_נ
התפעל 	עתיד	שני 	נקבה	יחיד	ת_זדו_ני
התפעל 	עתיד	שלישי	זכר 	יחיד	י_זדו_נ
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_זדו_נ
התפעל 	עתיד	ראשון	זכר 	רבים	נ_זדו_נ
התפעל 	עתיד	ראשון	נקבה	רבים	נ_זדו_נ
התפעל 	עתיד	שני 	זכר 	רבים	_זדו_נו
התפעל 	עתיד	שני 	נקבה	רבים	ת_זדו_נה
התפעל 	עתיד	שלישי	זכר 	רבים	י_זדו_נו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_זדו_נה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_זדו_נ
התפעל 	ציווי	שני 	נקבה	יחיד	ה_זדו_ני
התפעל 	ציווי	שני 	זכר 	רבים	ה_זדו_נו
התפעל 	ציווי	שני 	נקבה	רבים	ה_זדו_נה
התפעל 	עזר 	ראשון	זכר 	יחיד	ה_זד_ו_ונתי
התפעל 	עזר 	ראשון	נקבה	יחיד	ה_זד_ו_ונתי
התפעל 	עזר 	שני 	זכר 	יחיד	ה_זד_ו_ונת
התפעל 	עזר 	שני 	נקבה	יחיד	ה_זד_ו_ונת
התפעל 	עזר 	שלישי	זכר 	יחיד	ה_זד_ו_ונ
התפעל 	עזר 	שלישי	נקבה	יחיד	ה_זד_ו_ונה
התפעל 	עזר 	ראשון	זכר 	רבים	ה_זד_ו_ונו
התפעל 	עזר 	ראשון	נקבה	רבים	ה_זד_ו_ונו
התפעל 	עזר 	שני 	זכר 	רבים	ה_זד_ו_ונתם
התפעל 	עזר 	שני 	נקבה	רבים	ה_זד_ו_ונתן
התפעל 	עזר 	שלישי	זכר 	רבים	ה_זד_ו_ונו
התפעל 	עזר 	שלישי	נקבה	רבים	ה_זד_ו_ונו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_זד_ו_ונ
התפעל 	הווה	ראשון	נקבה	יחיד	מ_זד_ו_ונת
התפעל 	הווה	שני 	זכר 	יחיד	מ_זד_ו_ונ
התפעל 	הווה	שני 	נקבה	יחיד	מ_זד_ו_ונת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_זד_ו_ונ
התפעל 	הווה	שלישי	נקבה	יחיד	מ_זד_ו_ונת
התפעל 	הווה	ראשון	זכר 	רבים	מ_זד_ו_ונים
התפעל 	הווה	ראשון	נקבה	רבים	מ_זד_ו_ונות
התפעל 	הווה	שני 	זכר 	רבים	מ_זד_ו_ונים
התפעל 	הווה	שני 	נקבה	רבים	מ_זד_ו_ונות
התפעל 	הווה	שלישי	זכר 	רבים	מ_זד_ו_ונים
התפעל 	הווה	שלישי	נקבה	רבים	מ_זד_ו_ונות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_זד_ו_ונ
התפעל 	עתיד	ראשון	נקבה	יחיד	א_זד_ו_ונ
התפעל 	עתיד	שני 	זכר 	יחיד	ת_זד_ו_ונ
התפעל 	עתיד	שני 	נקבה	יחיד	ת_זד_ו_וני
התפעל 	עתיד	שלישי	זכר 	יחיד	י_זד_ו_ונ
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_זד_ו_ונ
התפעל 	עתיד	ראשון	זכר 	רבים	נ_זד_ו_ונ
התפעל 	עתיד	ראשון	נקבה	רבים	נ_זד_ו_ונ
התפעל 	עתיד	שני 	זכר 	רבים	_זד_ו_ונו
התפעל 	עתיד	שני 	נקבה	רבים	ת_זד_ו_ונה
התפעל 	עתיד	שלישי	זכר 	רבים	י_זד_ו_ונו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_זד_ו_ונה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_זד_ו_ונ
התפעל 	ציווי	שני 	נקבה	יחיד	ה_זד_ו_וני
התפעל 	ציווי	שני 	זכר 	רבים	ה_זד_ו_ונו
התפעל 	ציווי	שני 	נקבה	רבים	ה_זד_ו_ונה
