פעל 	עבר  	ראשון	זכר 	יחיד	_ע_ג_נתי
פעל 	עבר  	ראשון	נקבה	יחיד	_ע_ג_נתי
פעל 	עבר  	שני 	זכר 	יחיד	_ע_ג_נת
פעל 	עבר  	שני 	נקבה	יחיד	_ע_ג_נת
פעל 	עבר  	שלישי	זכר 	יחיד	_ע_ג_נ
פעל 	עבר  	שלישי	נקבה	יחיד	_ע_ג_נה
פעל 	עבר  	ראשון	זכר 	רבים	_ע_ג_נו
פעל 	עבר  	ראשון	נקבה	רבים	_ע_ג_נו
פעל 	עבר  	שני 	זכר 	רבים	_ע_ג_נתם
פעל 	עבר  	שני 	נקבה	רבים	_ע_ג_נתן
פעל 	עבר  	שלישי	זכר 	רבים	_ע_ג_נו
פעל 	עבר  	שלישי	נקבה	רבים	_ע_ג_נו
פעל 	הווה	ראשון	זכר 	יחיד	_עו_ג_נ
פעל 	הווה	ראשון	נקבה	יחיד	_עו_ג_נת
פעל 	הווה	שני 	זכר 	יחיד	_עו_ג_נ
פעל 	הווה	שני 	נקבה	יחיד	_עו_ג_נת
פעל 	הווה	שלישי	זכר 	יחיד	_עו_ג_נ
פעל 	הווה	שלישי	נקבה	יחיד	_עו_ג_נת
פעל 	הווה	ראשון	זכר 	רבים	_עו_ג_נים
פעל 	הווה	ראשון	נקבה	רבים	_עו_ג_נות
פעל 	הווה	שני 	זכר 	רבים	_עו_ג_נים
פעל 	הווה	שני 	נקבה	רבים	_עו_ג_נות
פעל 	הווה	שלישי	זכר 	רבים	_עו_ג_נים
פעל 	הווה	שלישי	נקבה	רבים	_עו_ג_נות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ע_ג_נ
פעל 	עתיד	ראשון	נקבה	יחיד	א_ע_ג_נ
פעל 	עתיד	שני 	זכר 	יחיד	ת_ע_ג_נ
פעל 	עתיד	שני 	נקבה	יחיד	ת_ע_ג_ני
פעל 	עתיד	שלישי	זכר 	יחיד	י_ע_ג_נ
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ע_ג_נ
פעל 	עתיד	ראשון	זכר 	רבים	נ_ע_ג_נ
פעל 	עתיד	ראשון	נקבה	רבים	נ_ע_ג_נ
פעל 	עתיד	שני 	זכר 	רבים	ת_ע_ג_נו
פעל 	עתיד	שני 	נקבה	רבים	ת_ע_ג_נה
פעל 	עתיד	שלישי	זכר 	רבים	י_ע_ג_נו
פעל 	עתיד	שלישי	נקבה	רבים	ת_ע_ג_נה
פעל 	ציווי	שני 	זכר 	יחיד	_ע_גו_נ
פעל 	ציווי	שני 	נקבה	יחיד	_עי_ג_ני
פעל 	ציווי	שני 	זכר 	רבים	_עי_ג_נו
פעל 	ציווי	שני 	נקבה	רבים	_ע_גו_נה
נפעל	עבר 	ראשון	זכר 	יחיד	נ_ע_ג_נתי
נפעל	עבר 	ראשון	נקבה	יחיד	נ_ע_ג_נתי
נפעל	עבר 	שני 	זכר 	יחיד	נ_ע_ג_נת
נפעל	עבר 	שני 	נקבה	יחיד	נ_ע_ג_נת
נפעל	עבר 	שלישי	זכר 	יחיד	נ_ע_ג_נ
נפעל	עבר 	שלישי	נקבה	יחיד	נ_ע_ג_נה
נפעל	עבר 	ראשון	זכר 	רבים	נ_ע_ג_נו
נפעל	עבר 	ראשון	נקבה	רבים	נ_ע_ג_נו
נפעל	עבר 	שני 	זכר 	רבים	נ_ע_ג_נתם
נפעל	עבר 	שני 	נקבה	רבים	נ_ע_ג_נתן
נפעל	עבר 	שלישי	זכר 	רבים	נ_ע_ג_נו
נפעל	עבר 	שלישי	נקבה	רבים	נ_ע_ג_נו
נפעל	הווה	ראשון	זכר 	יחיד	נ_ע_ג_נ
נפעל	הווה	ראשון	נקבה	יחיד	נ_ע_ג_נת
נפעל	הווה	שני 	זכר 	יחיד	נ_ע_ג_נ
נפעל	הווה	שני 	נקבה	יחיד	נ_ע_ג_נת
נפעל	הווה	שלישי	זכר 	יחיד	נ_ע_ג_נ
נפעל	הווה	שלישי	נקבה	יחיד	נ_ע_ג_נת
נפעל	הווה	ראשון	זכר 	רבים	נ_ע_ג_נים
נפעל	הווה	ראשון	נקבה	רבים	נ_ע_ג_נות
נפעל	הווה	שני 	זכר 	רבים	נ_ע_ג_נים
נפעל	הווה	שני 	נקבה	רבים	נ_ע_ג_נות
נפעל	הווה	שלישי	זכר 	רבים	נ_ע_ג_נים
נפעל	הווה	שלישי	נקבה	רבים	נ_ע_ג_נות
נפעל	עתיד	ראשון	זכר 	יחיד	א_ע_ג_נ
נפעל	עתיד	ראשון	נקבה	יחיד	א_ע_ג_נ
נפעל	עתיד	שני 	זכר 	יחיד	תי_ע_ג_נ
נפעל	עתיד	שני 	נקבה	יחיד	תי_ע_ג_ני
נפעל	עתיד	שלישי	זכר 	יחיד	יי_ע_ג_נ
נפעל	עתיד	שלישי	נקבה	יחיד	תי_ע_ג_נ
נפעל	עתיד	ראשון	זכר 	רבים	נ_ע_ג_נ
נפעל	עתיד	ראשון	נקבה	רבים	נ_ע_ג_נ
נפעל	עתיד	שני 	זכר 	רבים	תי_ע_ג_נו
נפעל	עתיד	שני 	נקבה	רבים	תי_ע_ג_נה
נפעל	עתיד	שלישי	זכר 	רבים	יי_ע_ג_נו
נפעל	עתיד	שלישי	נקבה	רבים	תי_ע_ג_נה
נפעל	ציווי	שני 	זכר 	יחיד	הי_ע_ג_נ
נפעל	ציווי	שני 	נקבה	יחיד	ה_ע_ג_ני
נפעל	ציווי	שני 	זכר 	רבים	ה_ע_ג_נו
נפעל	ציווי	שני 	נקבה	רבים	ה_ע_ג_נה
פיעל	עבר 	ראשון	זכר 	יחיד	_עי_ג_נתי
פיעל	עבר 	ראשון	נקבה	יחיד	_עי_ג_נתי
פיעל	עבר 	שני 	זכר 	יחיד	_עי_ג_נת
פיעל	עבר 	שני 	נקבה	יחיד	_עי_ג_נת
פיעל	עבר 	שלישי	זכר 	יחיד	_עי_ג_נ
פיעל	עבר 	שלישי	נקבה	יחיד	_עי_ג_נה
פיעל	עבר 	ראשון	זכר 	רבים	_עי_ג_נו
פיעל	עבר 	ראשון	נקבה	רבים	_עי_ג_נו
פיעל	עבר 	שני 	זכר 	רבים	_עי_ג_נתם
פיעל	עבר 	שני 	נקבה	רבים	_עי_ג_נתן
פיעל	עבר 	שלישי	זכר 	רבים	_עי_ג_נו
פיעל	עבר 	שלישי	נקבה	רבים	_עי_ג_נו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ע_ג_נ
פיעל	הווה	ראשון	נקבה	יחיד	מ_ע_ג_נת
פיעל	הווה	שני 	זכר 	יחיד	מ_ע_ג_נ
פיעל	הווה	שני 	נקבה	יחיד	מ_ע_ג_נת
פיעל	הווה	שלישי	זכר 	יחיד	מ_ע_ג_נ
פיעל	הווה	שלישי	נקבה	יחיד	מ_ע_ג_נת
פיעל	הווה	ראשון	זכר 	רבים	מ_ע_ג_נים
פיעל	הווה	ראשון	נקבה	רבים	מ_ע_ג_נות
פיעל	הווה	שני 	זכר 	רבים	מ_ע_ג_נים
פיעל	הווה	שני 	נקבה	רבים	מ_ע_ג_נות
פיעל	הווה	שלישי	זכר 	רבים	מ_ע_ג_נים
פיעל	הווה	שלישי	נקבה	רבים	מ_ע_ג_נות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ע_ג_נ
פיעל	עתיד	ראשון	נקבה	יחיד	א_ע_ג_נ
פיעל	עתיד	שני 	זכר 	יחיד	ת_ע_ג_נ
פיעל	עתיד	שני 	נקבה	יחיד	ת_ע_ג_ני
פיעל	עתיד	שלישי	זכר 	יחיד	י_ע_ג_נ
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ע_ג_נ
פיעל	עתיד	ראשון	זכר 	רבים	נ_ע_ג_נ
פיעל	עתיד	ראשון	נקבה	רבים	נ_ע_ג_נ
פיעל	עתיד	שני 	זכר 	רבים	ת_ע_ג_נו
פיעל	עתיד	שני 	נקבה	רבים	ת_ע_ג_נה
פיעל	עתיד	שלישי	זכר 	רבים	י_ע_ג_נו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ע_ג_נה
פיעל	ציווי	שני 	זכר 	יחיד	_ע_ג_נ
פיעל	ציווי	שני 	נקבה	יחיד	_ע_ג_ני
פיעל	ציווי	שני 	זכר 	רבים	_ע_ג_נו
פיעל	ציווי	שני 	נקבה	רבים	_ע_ג_נה
פועל	עבר 	ראשון	זכר 	יחיד	_עו_ג_נתי
פועל	עבר 	ראשון	נקבה	יחיד	_עו_ג_נתי
פועל	עבר 	שני 	זכר 	יחיד	_עו_ג_נת
פועל	עבר 	שני 	נקבה	יחיד	_עו_ג_נת
פועל	עבר 	שלישי	זכר 	יחיד	_עו_ג_נ
פועל	עבר 	שלישי	נקבה	יחיד	_עו_ג_נה
פועל	עבר 	ראשון	זכר 	רבים	_עו_ג_נו
פועל	עבר 	ראשון	נקבה	רבים	_עו_ג_נו
פועל	עבר 	שני 	זכר 	רבים	_עו_ג_נתם
פועל	עבר 	שני 	נקבה	רבים	_עו_ג_נתן
פועל	עבר 	שלישי	זכר 	רבים	_עו_ג_נו
פועל	עבר 	שלישי	נקבה	רבים	_עו_ג_נו
פועל	הווה	ראשון	זכר 	יחיד	מ_עו_ג_נ
פועל	הווה	ראשון	נקבה	יחיד	מ_עו_ג_נת
פועל	הווה	שני 	זכר 	יחיד	מ_עו_ג_נ
פועל	הווה	שני 	נקבה	יחיד	מ_עו_ג_נת
פועל	הווה	שלישי	זכר 	יחיד	מ_עו_ג_נ
פועל	הווה	שלישי	נקבה	יחיד	מ_עו_ג_נת
פועל	הווה	ראשון	זכר 	רבים	מ_עו_ג_נים
פועל	הווה	ראשון	נקבה	רבים	מ_עו_ג_נות
פועל	הווה	שני 	זכר 	רבים	מ_עו_ג_נים
פועל	הווה	שני 	נקבה	רבים	מ_עו_ג_נות
פועל	הווה	שלישי	זכר 	רבים	מ_עו_ג_נים
פועל	הווה	שלישי	נקבה	רבים	מ_עו_ג_נות
פועל	עתיד	ראשון	זכר 	יחיד	א_עו_ג_נ
פועל	עתיד	ראשון	נקבה	יחיד	א_עו_ג_נ
פועל	עתיד	שני 	זכר 	יחיד	ת_עו_ג_נ
פועל	עתיד	שני 	נקבה	יחיד	ת_עו_ג_ני
פועל	עתיד	שלישי	זכר 	יחיד	י_עו_ג_נ
פועל	עתיד	שלישי	נקבה	יחיד	ת_עו_ג_נ
פועל	עתיד	ראשון	זכר 	רבים	נ_עו_ג_נ
פועל	עתיד	ראשון	נקבה	רבים	נ_עו_ג_נ
פועל	עתיד	שני 	זכר 	רבים	ת_עו_ג_נו
פועל	עתיד	שני 	נקבה	רבים	ת_עו_ג_נה
פועל	עתיד	שלישי	זכר 	רבים	י_עו_ג_נו
פועל	עתיד	שלישי	נקבה	רבים	ת_עו_ג_נה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ע_ג_נתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ע_ג_נתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ע_ג_נת
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ע_ג_נת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_ע_גי_נ
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_ע_גי_נ
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ע_ג_נו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ע_ג_נו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ע_ג_נתם
הפעיל	עבר 	שני 	נקבה	רבים	ה_ע_ג_נתן
הפעיל	עבר 	שלישי	זכר 	רבים	ה_ע_גי_נו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_ע_גי_נו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_ע_גי_נ
הפעיל	הווה	ראשון	נקבה	יחיד	מ_ע_גי_נה
הפעיל	הווה	שני 	זכר 	יחיד	מ_ע_גי_נ
הפעיל	הווה	שני 	נקבה	יחיד	מ_ע_גי_נה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_ע_גי_נ
הפעיל	הווה	שלישי	נקבה	יחיד	מ_ע_גי_נה
הפעיל	הווה	ראשון	זכר 	רבים	מ_ע_גי_נים
הפעיל	הווה	ראשון	נקבה	רבים	מ_ע_גי_נות
הפעיל	הווה	שני 	זכר 	רבים	מ_ע_גי_נים
הפעיל	הווה	שני 	נקבה	רבים	מ_ע_גי_נות
הפעיל	הווה	שלישי	זכר 	רבים	מ_ע_גי_נים
הפעיל	הווה	שלישי	נקבה	רבים	מ_ע_גי_נות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_ע_גי_נ
הפעיל	עתיד	ראשון	נקבה	יחיד	א_ע_גי_נ
הפעיל	עתיד	שני 	זכר 	יחיד	ת_ע_גי_נ
הפעיל	עתיד	שני 	נקבה	יחיד	ת_ע_גי_ני
הפעיל	עתיד	שלישי	זכר 	יחיד	י_ע_גי_נ
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_ע_גי_נ
הפעיל	עתיד	ראשון	זכר 	רבים	נ_ע_גי_נ
הפעיל	עתיד	ראשון	נקבה	רבים	נ_ע_גי_נ
הפעיל	עתיד	שני 	זכר 	רבים	ת_ע_גי_נו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ע_ג_נה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ע_גי_נו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ע_ג_נה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ע_ג_נ
הפעיל	ציווי	שני 	נקבה	יחיד	ה_ע_גי_ני
הפעיל	ציווי	שני 	זכר 	רבים	ה_ע_גי_נו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ע_ג_נה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_ע_ג_נתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_ע_ג_נתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_ע_ג_נת
הופעל	עבר 	שני 	נקבה	יחיד	הו_ע_ג_נת
הופעל	עבר 	שלישי	זכר 	יחיד	הו_ע_ג_נ
הופעל	עבר 	שלישי	נקבה	יחיד	הו_ע_ג_נה
הופעל	עבר 	ראשון	זכר 	רבים	הו_ע_ג_נו
הופעל	עבר 	ראשון	נקבה	רבים	הו_ע_ג_נו
הופעל	עבר 	שני 	זכר 	רבים	הו_ע_ג_נתם
הופעל	עבר 	שני 	נקבה	רבים	הו_ע_ג_נתן
הופעל	עבר 	שלישי	זכר 	רבים	הו_ע_ג_נו
הופעל	עבר 	שלישי	נקבה	רבים	הו_ע_ג_נו
הופעל	הווה	ראשון	זכר 	יחיד	מו_ע_ג_נ
הופעל	הווה	ראשון	נקבה	יחיד	מו_ע_ג_נת
הופעל	הווה	שני 	זכר 	יחיד	מו_ע_ג_נ
הופעל	הווה	שני 	נקבה	יחיד	מו_ע_ג_נת
הופעל	הווה	שלישי	זכר 	יחיד	מו_ע_ג_נ
הופעל	הווה	שלישי	נקבה	יחיד	מו_ע_ג_נת
הופעל	הווה	ראשון	זכר 	רבים	מו_ע_ג_נים
הופעל	הווה	ראשון	נקבה	רבים	מו_ע_ג_נות
הופעל	הווה	שני 	זכר 	רבים	מו_ע_ג_נים
הופעל	הווה	שני 	נקבה	רבים	מו_ע_ג_נות
הופעל	הווה	שלישי	זכר 	רבים	מו_ע_ג_נים
הופעל	הווה	שלישי	נקבה	רבים	מו_ע_ג_נות
הופעל	עתיד	ראשון	זכר 	יחיד	או_ע_ג_נ
הופעל	עתיד	ראשון	נקבה	יחיד	או_ע_ג_נ
הופעל	עתיד	שני 	זכר 	יחיד	תו_ע_ג_נ
הופעל	עתיד	שני 	נקבה	יחיד	תו_ע_ג_ני
הופעל	עתיד	שלישי	זכר 	יחיד	יו_ע_ג_נ
הופעל	עתיד	שלישי	נקבה	יחיד	תו_ע_ג_נ
הופעל	עתיד	ראשון	זכר 	רבים	נו_ע_ג_נ
הופעל	עתיד	ראשון	נקבה	רבים	נו_ע_ג_נ
הופעל	עתיד	שני 	זכר 	רבים	תו_ע_ג_נו
הופעל	עתיד	שני 	נקבה	רבים	תו_ע_ג_נה
הופעל	עתיד	שלישי	זכר 	רבים	יו_ע_ג_נו
הופעל	עתיד	שלישי	נקבה	רבים	תו_ע_ג_נה
התפעל	עבר 	ראשון	זכר 	יחיד	הת_ע_ג_נתי
התפעל	עבר 	ראשון	נקבה	יחיד	הת_ע_ג_נתי
התפעל	עבר 	שני 	זכר 	יחיד	הת_ע_ג_נת
התפעל	עבר 	שני 	נקבה	יחיד	הת_ע_ג_נת
התפעל	עבר 	שלישי	זכר 	יחיד	הת_ע_ג_נ
התפעל	עבר 	שלישי	נקבה	יחיד	הת_ע_ג_נה
התפעל	עבר 	ראשון	זכר 	רבים	הת_ע_ג_נו
התפעל	עבר 	ראשון	נקבה	רבים	הת_ע_ג_נו
התפעל	עבר 	שני 	זכר 	רבים	הת_ע_ג_נתם
התפעל	עבר 	שני 	נקבה	רבים	הת_ע_ג_נתן
התפעל	עבר 	שלישי	זכר 	רבים	הת_ע_ג_נו
התפעל	עבר 	שלישי	נקבה	רבים	הת_ע_ג_נו
התפעל	הווה	ראשון	זכר 	יחיד	מת_ע_ג_נ
התפעל	הווה	ראשון	נקבה	יחיד	מת_ע_ג_נת
התפעל	הווה	שני 	זכר 	יחיד	מת_ע_ג_נ
התפעל	הווה	שני 	נקבה	יחיד	מת_ע_ג_נת
התפעל	הווה	שלישי	זכר 	יחיד	מת_ע_ג_נ
התפעל	הווה	שלישי	נקבה	יחיד	מת_ע_ג_נת
התפעל	הווה	ראשון	זכר 	רבים	מת_ע_ג_נים
התפעל	הווה	ראשון	נקבה	רבים	מת_ע_ג_נות
התפעל	הווה	שני 	זכר 	רבים	מת_ע_ג_נים
התפעל	הווה	שני 	נקבה	רבים	מת_ע_ג_נות
התפעל	הווה	שלישי	זכר 	רבים	מת_ע_ג_נים
התפעל	הווה	שלישי	נקבה	רבים	מת_ע_ג_נות
התפעל	עתיד	ראשון	זכר 	יחיד	את_ע_ג_נ
התפעל	עתיד	ראשון	נקבה	יחיד	את_ע_ג_נ
התפעל	עתיד	שני 	זכר 	יחיד	תת_ע_ג_נ
התפעל	עתיד	שני 	נקבה	יחיד	תת_ע_ג_ני
התפעל	עתיד	שלישי	זכר 	יחיד	ית_ע_ג_נ
התפעל	עתיד	שלישי	נקבה	יחיד	תת_ע_ג_נ
התפעל	עתיד	ראשון	זכר 	רבים	נת_ע_ג_נ
התפעל	עתיד	ראשון	נקבה	רבים	נת_ע_ג_נ
התפעל	עתיד	שני 	זכר 	רבים	תת_ע_ג_נו
התפעל	עתיד	שני 	נקבה	רבים	תת_ע_ג_נה
התפעל	עתיד	שלישי	זכר 	רבים	ית_ע_ג_נו
התפעל	עתיד	שלישי	נקבה	רבים	תת_ע_ג_נה
התפעל	ציווי	שני 	זכר 	יחיד	הת_ע_ג_נ
התפעל	ציווי	שני 	נקבה	יחיד	הת_ע_ג_ני
התפעל	ציווי	שני 	זכר 	רבים	הת_ע_ג_נו
התפעל	ציווי	שני 	נקבה	רבים	הת_ע_ג_נה
