פעל 	עבר  	ראשון	זכר 	יחיד	_צ_ל_מתי
פעל 	עבר  	ראשון	נקבה	יחיד	_צ_ל_מתי
פעל 	עבר  	שני 	זכר 	יחיד	_צ_ל_מת
פעל 	עבר  	שני 	נקבה	יחיד	_צ_ל_מת
פעל 	עבר  	שלישי	זכר 	יחיד	_צ_ל_מ
פעל 	עבר  	שלישי	נקבה	יחיד	_צ_ל_מה
פעל 	עבר  	ראשון	זכר 	רבים	_צ_ל_מנו
פעל 	עבר  	ראשון	נקבה	רבים	_צ_ל_מנו
פעל 	עבר  	שני 	זכר 	רבים	_צ_ל_מתם
פעל 	עבר  	שני 	נקבה	רבים	_צ_ל_מתן
פעל 	עבר  	שלישי	זכר 	רבים	_צ_ל_מו
פעל 	עבר  	שלישי	נקבה	רבים	_צ_ל_מו
פעל 	הווה	ראשון	זכר 	יחיד	_צו_ל_מ
פעל 	הווה	ראשון	נקבה	יחיד	_צו_ל_מת
פעל 	הווה	שני 	זכר 	יחיד	_צו_ל_מ
פעל 	הווה	שני 	נקבה	יחיד	_צו_ל_מת
פעל 	הווה	שלישי	זכר 	יחיד	_צו_ל_מ
פעל 	הווה	שלישי	נקבה	יחיד	_צו_ל_מת
פעל 	הווה	ראשון	זכר 	רבים	_צו_ל_מים
פעל 	הווה	ראשון	נקבה	רבים	_צו_ל_מות
פעל 	הווה	שני 	זכר 	רבים	_צו_ל_מים
פעל 	הווה	שני 	נקבה	רבים	_צו_ל_מות
פעל 	הווה	שלישי	זכר 	רבים	_צו_ל_מים
פעל 	הווה	שלישי	נקבה	רבים	_צו_ל_מות
פעל 	עתיד	ראשון	זכר 	יחיד	א_צ_ל_מ
פעל 	עתיד	ראשון	נקבה	יחיד	א_צ_ל_מ
פעל 	עתיד	שני 	זכר 	יחיד	ת_צ_ל_מ
פעל 	עתיד	שני 	נקבה	יחיד	ת_צ_ל_מי
פעל 	עתיד	שלישי	זכר 	יחיד	י_צ_ל_מ
פעל 	עתיד	שלישי	נקבה	יחיד	ת_צ_ל_מ
פעל 	עתיד	ראשון	זכר 	רבים	נ_צ_ל_מ
פעל 	עתיד	ראשון	נקבה	רבים	נ_צ_ל_מ
פעל 	עתיד	שני 	זכר 	רבים	ת_צ_ל_מו
פעל 	עתיד	שני 	נקבה	רבים	ת_צ_ל_מנה
פעל 	עתיד	שלישי	זכר 	רבים	י_צ_ל_מו
פעל 	עתיד	שלישי	נקבה	רבים	ת_צ_ל_מנה
פעל 	ציווי	שני 	זכר 	יחיד	_צ_לו_מ
פעל 	ציווי	שני 	נקבה	יחיד	_צי_ל_מי
פעל 	ציווי	שני 	זכר 	רבים	_צי_ל_מו
פעל 	ציווי	שני 	נקבה	רבים	_צ_לו_מנה
נפעל	עבר 	ראשון	זכר 	יחיד	נ_צ_ל_מתי
נפעל	עבר 	ראשון	נקבה	יחיד	נ_צ_ל_מתי
נפעל	עבר 	שני 	זכר 	יחיד	נ_צ_ל_מת
נפעל	עבר 	שני 	נקבה	יחיד	נ_צ_ל_מת
נפעל	עבר 	שלישי	זכר 	יחיד	נ_צ_ל_מ
נפעל	עבר 	שלישי	נקבה	יחיד	נ_צ_ל_מה
נפעל	עבר 	ראשון	זכר 	רבים	נ_צ_ל_מנו
נפעל	עבר 	ראשון	נקבה	רבים	נ_צ_ל_מנו
נפעל	עבר 	שני 	זכר 	רבים	נ_צ_ל_מתם
נפעל	עבר 	שני 	נקבה	רבים	נ_צ_ל_מתן
נפעל	עבר 	שלישי	זכר 	רבים	נ_צ_ל_מו
נפעל	עבר 	שלישי	נקבה	רבים	נ_צ_ל_מו
נפעל	הווה	ראשון	זכר 	יחיד	נ_צ_ל_מ
נפעל	הווה	ראשון	נקבה	יחיד	נ_צ_ל_מת
נפעל	הווה	שני 	זכר 	יחיד	נ_צ_ל_מ
נפעל	הווה	שני 	נקבה	יחיד	נ_צ_ל_מת
נפעל	הווה	שלישי	זכר 	יחיד	נ_צ_ל_מ
נפעל	הווה	שלישי	נקבה	יחיד	נ_צ_ל_מת
נפעל	הווה	ראשון	זכר 	רבים	נ_צ_ל_מים
נפעל	הווה	ראשון	נקבה	רבים	נ_צ_ל_מות
נפעל	הווה	שני 	זכר 	רבים	נ_צ_ל_מים
נפעל	הווה	שני 	נקבה	רבים	נ_צ_ל_מות
נפעל	הווה	שלישי	זכר 	רבים	נ_צ_ל_מים
נפעל	הווה	שלישי	נקבה	רבים	נ_צ_ל_מות
נפעל	עתיד	ראשון	זכר 	יחיד	א_צ_ל_מ
נפעל	עתיד	ראשון	נקבה	יחיד	א_צ_ל_מ
נפעל	עתיד	שני 	זכר 	יחיד	תי_צ_ל_מ
נפעל	עתיד	שני 	נקבה	יחיד	תי_צ_ל_מי
נפעל	עתיד	שלישי	זכר 	יחיד	יי_צ_ל_מ
נפעל	עתיד	שלישי	נקבה	יחיד	תי_צ_ל_מ
נפעל	עתיד	ראשון	זכר 	רבים	נ_צ_ל_מ
נפעל	עתיד	ראשון	נקבה	רבים	נ_צ_ל_מ
נפעל	עתיד	שני 	זכר 	רבים	תי_צ_ל_מו
נפעל	עתיד	שני 	נקבה	רבים	תי_צ_ל_מנה
נפעל	עתיד	שלישי	זכר 	רבים	יי_צ_ל_מו
נפעל	עתיד	שלישי	נקבה	רבים	תי_צ_ל_מנה
נפעל	ציווי	שני 	זכר 	יחיד	הי_צ_ל_מ
נפעל	ציווי	שני 	נקבה	יחיד	ה_צ_ל_מי
נפעל	ציווי	שני 	זכר 	רבים	ה_צ_ל_מו
נפעל	ציווי	שני 	נקבה	רבים	ה_צ_ל_מנה
פיעל	עבר 	ראשון	זכר 	יחיד	_צי_ל_מתי
פיעל	עבר 	ראשון	נקבה	יחיד	_צי_ל_מתי
פיעל	עבר 	שני 	זכר 	יחיד	_צי_ל_מת
פיעל	עבר 	שני 	נקבה	יחיד	_צי_ל_מת
פיעל	עבר 	שלישי	זכר 	יחיד	_צי_ל_מ
פיעל	עבר 	שלישי	נקבה	יחיד	_צי_ל_מה
פיעל	עבר 	ראשון	זכר 	רבים	_צי_ל_מנו
פיעל	עבר 	ראשון	נקבה	רבים	_צי_ל_מנו
פיעל	עבר 	שני 	זכר 	רבים	_צי_ל_מתם
פיעל	עבר 	שני 	נקבה	רבים	_צי_ל_מתן
פיעל	עבר 	שלישי	זכר 	רבים	_צי_ל_מו
פיעל	עבר 	שלישי	נקבה	רבים	_צי_ל_מו
פיעל	הווה	ראשון	זכר 	יחיד	מ_צ_ל_מ
פיעל	הווה	ראשון	נקבה	יחיד	מ_צ_ל_מת
פיעל	הווה	שני 	זכר 	יחיד	מ_צ_ל_מ
פיעל	הווה	שני 	נקבה	יחיד	מ_צ_ל_מת
פיעל	הווה	שלישי	זכר 	יחיד	מ_צ_ל_מ
פיעל	הווה	שלישי	נקבה	יחיד	מ_צ_ל_מת
פיעל	הווה	ראשון	זכר 	רבים	מ_צ_ל_מים
פיעל	הווה	ראשון	נקבה	רבים	מ_צ_ל_מות
פיעל	הווה	שני 	זכר 	רבים	מ_צ_ל_מים
פיעל	הווה	שני 	נקבה	רבים	מ_צ_ל_מות
פיעל	הווה	שלישי	זכר 	רבים	מ_צ_ל_מים
פיעל	הווה	שלישי	נקבה	רבים	מ_צ_ל_מות
פיעל	עתיד	ראשון	זכר 	יחיד	א_צ_ל_מ
פיעל	עתיד	ראשון	נקבה	יחיד	א_צ_ל_מ
פיעל	עתיד	שני 	זכר 	יחיד	ת_צ_ל_מ
פיעל	עתיד	שני 	נקבה	יחיד	ת_צ_ל_מי
פיעל	עתיד	שלישי	זכר 	יחיד	י_צ_ל_מ
פיעל	עתיד	שלישי	נקבה	יחיד	ת_צ_ל_מ
פיעל	עתיד	ראשון	זכר 	רבים	נ_צ_ל_מ
פיעל	עתיד	ראשון	נקבה	רבים	נ_צ_ל_מ
פיעל	עתיד	שני 	זכר 	רבים	ת_צ_ל_מו
פיעל	עתיד	שני 	נקבה	רבים	ת_צ_ל_מנה
פיעל	עתיד	שלישי	זכר 	רבים	י_צ_ל_מו
פיעל	עתיד	שלישי	נקבה	רבים	ת_צ_ל_מנה
פיעל	ציווי	שני 	זכר 	יחיד	_צ_ל_מ
פיעל	ציווי	שני 	נקבה	יחיד	_צ_ל_מי
פיעל	ציווי	שני 	זכר 	רבים	_צ_ל_מו
פיעל	ציווי	שני 	נקבה	רבים	_צ_ל_מנה
פועל	עבר 	ראשון	זכר 	יחיד	_צו_ל_מתי
פועל	עבר 	ראשון	נקבה	יחיד	_צו_ל_מתי
פועל	עבר 	שני 	זכר 	יחיד	_צו_ל_מת
פועל	עבר 	שני 	נקבה	יחיד	_צו_ל_מת
פועל	עבר 	שלישי	זכר 	יחיד	_צו_ל_מ
פועל	עבר 	שלישי	נקבה	יחיד	_צו_ל_מה
פועל	עבר 	ראשון	זכר 	רבים	_צו_ל_מנו
פועל	עבר 	ראשון	נקבה	רבים	_צו_ל_מנו
פועל	עבר 	שני 	זכר 	רבים	_צו_ל_מתם
פועל	עבר 	שני 	נקבה	רבים	_צו_ל_מתן
פועל	עבר 	שלישי	זכר 	רבים	_צו_ל_מו
פועל	עבר 	שלישי	נקבה	רבים	_צו_ל_מו
פועל	הווה	ראשון	זכר 	יחיד	מ_צו_ל_מ
פועל	הווה	ראשון	נקבה	יחיד	מ_צו_ל_מת
פועל	הווה	שני 	זכר 	יחיד	מ_צו_ל_מ
פועל	הווה	שני 	נקבה	יחיד	מ_צו_ל_מת
פועל	הווה	שלישי	זכר 	יחיד	מ_צו_ל_מ
פועל	הווה	שלישי	נקבה	יחיד	מ_צו_ל_מת
פועל	הווה	ראשון	זכר 	רבים	מ_צו_ל_מים
פועל	הווה	ראשון	נקבה	רבים	מ_צו_ל_מות
פועל	הווה	שני 	זכר 	רבים	מ_צו_ל_מים
פועל	הווה	שני 	נקבה	רבים	מ_צו_ל_מות
פועל	הווה	שלישי	זכר 	רבים	מ_צו_ל_מים
פועל	הווה	שלישי	נקבה	רבים	מ_צו_ל_מות
פועל	עתיד	ראשון	זכר 	יחיד	א_צו_ל_מ
פועל	עתיד	ראשון	נקבה	יחיד	א_צו_ל_מ
פועל	עתיד	שני 	זכר 	יחיד	ת_צו_ל_מ
פועל	עתיד	שני 	נקבה	יחיד	ת_צו_ל_מי
פועל	עתיד	שלישי	זכר 	יחיד	י_צו_ל_מ
פועל	עתיד	שלישי	נקבה	יחיד	ת_צו_ל_מ
פועל	עתיד	ראשון	זכר 	רבים	נ_צו_ל_מ
פועל	עתיד	ראשון	נקבה	רבים	נ_צו_ל_מ
פועל	עתיד	שני 	זכר 	רבים	ת_צו_ל_מו
פועל	עתיד	שני 	נקבה	רבים	ת_צו_ל_מנה
פועל	עתיד	שלישי	זכר 	רבים	י_צו_ל_מו
פועל	עתיד	שלישי	נקבה	רבים	ת_צו_ל_מנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_צ_ל_מתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_צ_ל_מתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_צ_ל_מת
הפעיל	עבר 	שני 	נקבה	יחיד	ה_צ_ל_מת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_צ_לי_מ
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_צ_לי_מ
הפעיל	עבר 	ראשון	זכר 	רבים	ה_צ_ל_מנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_צ_ל_מנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_צ_ל_מתם
הפעיל	עבר 	שני 	נקבה	רבים	ה_צ_ל_מתן
הפעיל	עבר 	שלישי	זכר 	רבים	ה_צ_לי_מו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_צ_לי_מו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_צ_לי_מ
הפעיל	הווה	ראשון	נקבה	יחיד	מ_צ_לי_מה
הפעיל	הווה	שני 	זכר 	יחיד	מ_צ_לי_מ
הפעיל	הווה	שני 	נקבה	יחיד	מ_צ_לי_מה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_צ_לי_מ
הפעיל	הווה	שלישי	נקבה	יחיד	מ_צ_לי_מה
הפעיל	הווה	ראשון	זכר 	רבים	מ_צ_לי_מים
הפעיל	הווה	ראשון	נקבה	רבים	מ_צ_לי_מות
הפעיל	הווה	שני 	זכר 	רבים	מ_צ_לי_מים
הפעיל	הווה	שני 	נקבה	רבים	מ_צ_לי_מות
הפעיל	הווה	שלישי	זכר 	רבים	מ_צ_לי_מים
הפעיל	הווה	שלישי	נקבה	רבים	מ_צ_לי_מות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_צ_לי_מ
הפעיל	עתיד	ראשון	נקבה	יחיד	א_צ_לי_מ
הפעיל	עתיד	שני 	זכר 	יחיד	ת_צ_לי_מ
הפעיל	עתיד	שני 	נקבה	יחיד	ת_צ_לי_מי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_צ_לי_מ
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_צ_לי_מ
הפעיל	עתיד	ראשון	זכר 	רבים	נ_צ_לי_מ
הפעיל	עתיד	ראשון	נקבה	רבים	נ_צ_לי_מ
הפעיל	עתיד	שני 	זכר 	רבים	ת_צ_לי_מו
הפעיל	עתיד	שני 	נקבה	רבים	ת_צ_ל_מנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_צ_לי_מו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_צ_ל_מנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_צ_ל_מ
הפעיל	ציווי	שני 	נקבה	יחיד	ה_צ_לי_מי
הפעיל	ציווי	שני 	זכר 	רבים	ה_צ_לי_מו
הפעיל	ציווי	שני 	נקבה	רבים	ה_צ_ל_מנה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_צ_ל_מתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_צ_ל_מתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_צ_ל_מת
הופעל	עבר 	שני 	נקבה	יחיד	הו_צ_ל_מת
הופעל	עבר 	שלישי	זכר 	יחיד	הו_צ_ל_מ
הופעל	עבר 	שלישי	נקבה	יחיד	הו_צ_ל_מה
הופעל	עבר 	ראשון	זכר 	רבים	הו_צ_ל_מנו
הופעל	עבר 	ראשון	נקבה	רבים	הו_צ_ל_מנו
הופעל	עבר 	שני 	זכר 	רבים	הו_צ_ל_מתם
הופעל	עבר 	שני 	נקבה	רבים	הו_צ_ל_מתן
הופעל	עבר 	שלישי	זכר 	רבים	הו_צ_ל_מו
הופעל	עבר 	שלישי	נקבה	רבים	הו_צ_ל_מו
הופעל	הווה	ראשון	זכר 	יחיד	מו_צ_ל_מ
הופעל	הווה	ראשון	נקבה	יחיד	מו_צ_ל_מת
הופעל	הווה	שני 	זכר 	יחיד	מו_צ_ל_מ
הופעל	הווה	שני 	נקבה	יחיד	מו_צ_ל_מת
הופעל	הווה	שלישי	זכר 	יחיד	מו_צ_ל_מ
הופעל	הווה	שלישי	נקבה	יחיד	מו_צ_ל_מת
הופעל	הווה	ראשון	זכר 	רבים	מו_צ_ל_מים
הופעל	הווה	ראשון	נקבה	רבים	מו_צ_ל_מות
הופעל	הווה	שני 	זכר 	רבים	מו_צ_ל_מים
הופעל	הווה	שני 	נקבה	רבים	מו_צ_ל_מות
הופעל	הווה	שלישי	זכר 	רבים	מו_צ_ל_מים
הופעל	הווה	שלישי	נקבה	רבים	מו_צ_ל_מות
הופעל	עתיד	ראשון	זכר 	יחיד	או_צ_ל_מ
הופעל	עתיד	ראשון	נקבה	יחיד	או_צ_ל_מ
הופעל	עתיד	שני 	זכר 	יחיד	תו_צ_ל_מ
הופעל	עתיד	שני 	נקבה	יחיד	תו_צ_ל_מי
הופעל	עתיד	שלישי	זכר 	יחיד	יו_צ_ל_מ
הופעל	עתיד	שלישי	נקבה	יחיד	תו_צ_ל_מ
הופעל	עתיד	ראשון	זכר 	רבים	נו_צ_ל_מ
הופעל	עתיד	ראשון	נקבה	רבים	נו_צ_ל_מ
הופעל	עתיד	שני 	זכר 	רבים	תו_צ_ל_מו
הופעל	עתיד	שני 	נקבה	רבים	תו_צ_ל_מנה
הופעל	עתיד	שלישי	זכר 	רבים	יו_צ_ל_מו
הופעל	עתיד	שלישי	נקבה	רבים	תו_צ_ל_מנה
התפעל	עבר 	ראשון	זכר 	יחיד	ה_צט_ל_מתי
התפעל	עבר 	ראשון	נקבה	יחיד	ה_צט_ל_מתי
התפעל	עבר 	שני 	זכר 	יחיד	ה_צט_ל_מת
התפעל	עבר 	שני 	נקבה	יחיד	ה_צט_ל_מת
התפעל	עבר 	שלישי	זכר 	יחיד	ה_צט_ל_מ
התפעל	עבר 	שלישי	נקבה	יחיד	ה_צט_ל_מה
התפעל	עבר 	ראשון	זכר 	רבים	ה_צט_ל_מנו
התפעל	עבר 	ראשון	נקבה	רבים	ה_צט_ל_מנו
התפעל	עבר 	שני 	זכר 	רבים	ה_צט_ל_מתם
התפעל	עבר 	שני 	נקבה	רבים	ה_צט_ל_מתן
התפעל	עבר 	שלישי	זכר 	רבים	ה_צט_ל_מו
התפעל	עבר 	שלישי	נקבה	רבים	ה_צט_ל_מו
התפעל	הווה	ראשון	זכר 	יחיד	מ_צט_ל_מ
התפעל	הווה	ראשון	נקבה	יחיד	מ_צט_ל_מת
התפעל	הווה	שני 	זכר 	יחיד	מ_צט_ל_מ
התפעל	הווה	שני 	נקבה	יחיד	מ_צט_ל_מת
התפעל	הווה	שלישי	זכר 	יחיד	מ_צט_ל_מ
התפעל	הווה	שלישי	נקבה	יחיד	מ_צט_ל_מת
התפעל	הווה	ראשון	זכר 	רבים	מ_צט_ל_מים
התפעל	הווה	ראשון	נקבה	רבים	מ_צט_ל_מות
התפעל	הווה	שני 	זכר 	רבים	מ_צט_ל_מים
התפעל	הווה	שני 	נקבה	רבים	מ_צט_ל_מות
התפעל	הווה	שלישי	זכר 	רבים	מ_צט_ל_מים
התפעל	הווה	שלישי	נקבה	רבים	מ_צט_ל_מות
התפעל	עתיד	ראשון	זכר 	יחיד	א_צט_ל_מ
התפעל	עתיד	ראשון	נקבה	יחיד	א_צט_ל_מ
התפעל	עתיד	שני 	זכר 	יחיד	ת_צט_ל_מ
התפעל	עתיד	שני 	נקבה	יחיד	ת_צט_ל_מי
התפעל	עתיד	שלישי	זכר 	יחיד	י_צט_ל_מ
התפעל	עתיד	שלישי	נקבה	יחיד	ת_צט_ל_מ
התפעל	עתיד	ראשון	זכר 	רבים	נת_צ_ל_מ
התפעל	עתיד	ראשון	נקבה	רבים	נת_צ_ל_מ
התפעל	עתיד	שני 	זכר 	רבים	ת_צט_ל_מו
התפעל	עתיד	שני 	נקבה	רבים	ת_צט_ל_מנה
התפעל	עתיד	שלישי	זכר 	רבים	י_צט_ל_מו
התפעל	עתיד	שלישי	נקבה	רבים	ת_צט_ל_מנה
התפעל	ציווי	שני 	זכר 	יחיד	ה_צט_ל_מ
התפעל	ציווי	שני 	נקבה	יחיד	ה_צט_ל_מי
התפעל	ציווי	שני 	זכר 	רבים	ה_צט_ל_מו
התפעל	ציווי	שני 	נקבה	רבים	ה_צט_ל_מנה
