פעל 	עבר  	ראשון	זכר 	יחיד	_ס_ג_רתי
פעל 	עבר  	ראשון	נקבה	יחיד	_ס_ג_רתי
פעל 	עבר  	שני 	זכר 	יחיד	_ס_ג_רת
פעל 	עבר  	שני 	נקבה	יחיד	_ס_ג_רת
פעל 	עבר  	שלישי	זכר 	יחיד	_ס_ג_ר
פעל 	עבר  	שלישי	נקבה	יחיד	_ס_ג_רה
פעל 	עבר  	ראשון	זכר 	רבים	_ס_ג_רנו
פעל 	עבר  	ראשון	נקבה	רבים	_ס_ג_רנו
פעל 	עבר  	שני 	זכר 	רבים	_ס_ג_רתם
פעל 	עבר  	שני 	נקבה	רבים	_ס_ג_רתן
פעל 	עבר  	שלישי	זכר 	רבים	_ס_ג_רו
פעל 	עבר  	שלישי	נקבה	רבים	_ס_ג_רו
פעל 	הווה	ראשון	זכר 	יחיד	_סו_ג_ר
פעל 	הווה	ראשון	נקבה	יחיד	_סו_ג_רת
פעל 	הווה	שני 	זכר 	יחיד	_סו_ג_ר
פעל 	הווה	שני 	נקבה	יחיד	_סו_ג_רת
פעל 	הווה	שלישי	זכר 	יחיד	_סו_ג_ר
פעל 	הווה	שלישי	נקבה	יחיד	_סו_ג_רת
פעל 	הווה	ראשון	זכר 	רבים	_סו_ג_רים
פעל 	הווה	ראשון	נקבה	רבים	_סו_ג_רות
פעל 	הווה	שני 	זכר 	רבים	_סו_ג_רים
פעל 	הווה	שני 	נקבה	רבים	_סו_ג_רות
פעל 	הווה	שלישי	זכר 	רבים	_סו_ג_רים
פעל 	הווה	שלישי	נקבה	רבים	_סו_ג_רות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ס_ג_ר
פעל 	עתיד	ראשון	נקבה	יחיד	א_ס_ג_ר
פעל 	עתיד	שני 	זכר 	יחיד	ת_ס_ג_ר
פעל 	עתיד	שני 	נקבה	יחיד	ת_ס_ג_רי
פעל 	עתיד	שלישי	זכר 	יחיד	י_ס_ג_ר
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ס_ג_ר
פעל 	עתיד	ראשון	זכר 	רבים	נ_ס_ג_ר
פעל 	עתיד	ראשון	נקבה	רבים	נ_ס_ג_ר
פעל 	עתיד	שני 	זכר 	רבים	ת_ס_ג_רו
פעל 	עתיד	שני 	נקבה	רבים	ת_ס_ג_רנה
פעל 	עתיד	שלישי	זכר 	רבים	י_ס_ג_רו
פעל 	עתיד	שלישי	נקבה	רבים	ת_ס_ג_רנה
פעל 	ציווי	שני 	זכר 	יחיד	_ס_גו_ר
פעל 	ציווי	שני 	נקבה	יחיד	_סי_ג_רי
פעל 	ציווי	שני 	זכר 	רבים	_סי_ג_רו
פעל 	ציווי	שני 	נקבה	רבים	_ס_גו_רנה
נפעל	עבר 	ראשון	זכר 	יחיד	נ_ס_ג_רתי
נפעל	עבר 	ראשון	נקבה	יחיד	נ_ס_ג_רתי
נפעל	עבר 	שני 	זכר 	יחיד	נ_ס_ג_רת
נפעל	עבר 	שני 	נקבה	יחיד	נ_ס_ג_רת
נפעל	עבר 	שלישי	זכר 	יחיד	נ_ס_ג_ר
נפעל	עבר 	שלישי	נקבה	יחיד	נ_ס_ג_רה
נפעל	עבר 	ראשון	זכר 	רבים	נ_ס_ג_רנו
נפעל	עבר 	ראשון	נקבה	רבים	נ_ס_ג_רנו
נפעל	עבר 	שני 	זכר 	רבים	נ_ס_ג_רתם
נפעל	עבר 	שני 	נקבה	רבים	נ_ס_ג_רתן
נפעל	עבר 	שלישי	זכר 	רבים	נ_ס_ג_רו
נפעל	עבר 	שלישי	נקבה	רבים	נ_ס_ג_רו
נפעל	הווה	ראשון	זכר 	יחיד	נ_ס_ג_ר
נפעל	הווה	ראשון	נקבה	יחיד	נ_ס_ג_רת
נפעל	הווה	שני 	זכר 	יחיד	נ_ס_ג_ר
נפעל	הווה	שני 	נקבה	יחיד	נ_ס_ג_רת
נפעל	הווה	שלישי	זכר 	יחיד	נ_ס_ג_ר
נפעל	הווה	שלישי	נקבה	יחיד	נ_ס_ג_רת
נפעל	הווה	ראשון	זכר 	רבים	נ_ס_ג_רים
נפעל	הווה	ראשון	נקבה	רבים	נ_ס_ג_רות
נפעל	הווה	שני 	זכר 	רבים	נ_ס_ג_רים
נפעל	הווה	שני 	נקבה	רבים	נ_ס_ג_רות
נפעל	הווה	שלישי	זכר 	רבים	נ_ס_ג_רים
נפעל	הווה	שלישי	נקבה	רבים	נ_ס_ג_רות
נפעל	עתיד	ראשון	זכר 	יחיד	א_ס_ג_ר
נפעל	עתיד	ראשון	נקבה	יחיד	א_ס_ג_ר
נפעל	עתיד	שני 	זכר 	יחיד	תי_ס_ג_ר
נפעל	עתיד	שני 	נקבה	יחיד	תי_ס_ג_רי
נפעל	עתיד	שלישי	זכר 	יחיד	יי_ס_ג_ר
נפעל	עתיד	שלישי	נקבה	יחיד	תי_ס_ג_ר
נפעל	עתיד	ראשון	זכר 	רבים	נ_ס_ג_ר
נפעל	עתיד	ראשון	נקבה	רבים	נ_ס_ג_ר
נפעל	עתיד	שני 	זכר 	רבים	תי_ס_ג_רו
נפעל	עתיד	שני 	נקבה	רבים	תי_ס_ג_רנה
נפעל	עתיד	שלישי	זכר 	רבים	יי_ס_ג_רו
נפעל	עתיד	שלישי	נקבה	רבים	תי_ס_ג_רנה
נפעל	ציווי	שני 	זכר 	יחיד	הי_ס_ג_ר
נפעל	ציווי	שני 	נקבה	יחיד	ה_ס_ג_רי
נפעל	ציווי	שני 	זכר 	רבים	ה_ס_ג_רו
נפעל	ציווי	שני 	נקבה	רבים	ה_ס_ג_רנה
פיעל	עבר 	ראשון	זכר 	יחיד	_סי_ג_רתי
פיעל	עבר 	ראשון	נקבה	יחיד	_סי_ג_רתי
פיעל	עבר 	שני 	זכר 	יחיד	_סי_ג_רת
פיעל	עבר 	שני 	נקבה	יחיד	_סי_ג_רת
פיעל	עבר 	שלישי	זכר 	יחיד	_סי_ג_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_סי_ג_רה
פיעל	עבר 	ראשון	זכר 	רבים	_סי_ג_רנו
פיעל	עבר 	ראשון	נקבה	רבים	_סי_ג_רנו
פיעל	עבר 	שני 	זכר 	רבים	_סי_ג_רתם
פיעל	עבר 	שני 	נקבה	רבים	_סי_ג_רתן
פיעל	עבר 	שלישי	זכר 	רבים	_סי_ג_רו
פיעל	עבר 	שלישי	נקבה	רבים	_סי_ג_רו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ס_ג_ר
פיעל	הווה	ראשון	נקבה	יחיד	מ_ס_ג_רת
פיעל	הווה	שני 	זכר 	יחיד	מ_ס_ג_ר
פיעל	הווה	שני 	נקבה	יחיד	מ_ס_ג_רת
פיעל	הווה	שלישי	זכר 	יחיד	מ_ס_ג_ר
פיעל	הווה	שלישי	נקבה	יחיד	מ_ס_ג_רת
פיעל	הווה	ראשון	זכר 	רבים	מ_ס_ג_רים
פיעל	הווה	ראשון	נקבה	רבים	מ_ס_ג_רות
פיעל	הווה	שני 	זכר 	רבים	מ_ס_ג_רים
פיעל	הווה	שני 	נקבה	רבים	מ_ס_ג_רות
פיעל	הווה	שלישי	זכר 	רבים	מ_ס_ג_רים
פיעל	הווה	שלישי	נקבה	רבים	מ_ס_ג_רות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ס_ג_ר
פיעל	עתיד	ראשון	נקבה	יחיד	א_ס_ג_ר
פיעל	עתיד	שני 	זכר 	יחיד	ת_ס_ג_ר
פיעל	עתיד	שני 	נקבה	יחיד	ת_ס_ג_רי
פיעל	עתיד	שלישי	זכר 	יחיד	י_ס_ג_ר
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ס_ג_ר
פיעל	עתיד	ראשון	זכר 	רבים	נ_ס_ג_ר
פיעל	עתיד	ראשון	נקבה	רבים	נ_ס_ג_ר
פיעל	עתיד	שני 	זכר 	רבים	ת_ס_ג_רו
פיעל	עתיד	שני 	נקבה	רבים	ת_ס_ג_רנה
פיעל	עתיד	שלישי	זכר 	רבים	י_ס_ג_רו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ס_ג_רנה
פיעל	ציווי	שני 	זכר 	יחיד	_ס_ג_ר
פיעל	ציווי	שני 	נקבה	יחיד	_ס_ג_רי
פיעל	ציווי	שני 	זכר 	רבים	_ס_ג_רו
פיעל	ציווי	שני 	נקבה	רבים	_ס_ג_רנה
פועל	עבר 	ראשון	זכר 	יחיד	_סו_ג_רתי
פועל	עבר 	ראשון	נקבה	יחיד	_סו_ג_רתי
פועל	עבר 	שני 	זכר 	יחיד	_סו_ג_רת
פועל	עבר 	שני 	נקבה	יחיד	_סו_ג_רת
פועל	עבר 	שלישי	זכר 	יחיד	_סו_ג_ר
פועל	עבר 	שלישי	נקבה	יחיד	_סו_ג_רה
פועל	עבר 	ראשון	זכר 	רבים	_סו_ג_רנו
פועל	עבר 	ראשון	נקבה	רבים	_סו_ג_רנו
פועל	עבר 	שני 	זכר 	רבים	_סו_ג_רתם
פועל	עבר 	שני 	נקבה	רבים	_סו_ג_רתן
פועל	עבר 	שלישי	זכר 	רבים	_סו_ג_רו
פועל	עבר 	שלישי	נקבה	רבים	_סו_ג_רו
פועל	הווה	ראשון	זכר 	יחיד	מ_סו_ג_ר
פועל	הווה	ראשון	נקבה	יחיד	מ_סו_ג_רת
פועל	הווה	שני 	זכר 	יחיד	מ_סו_ג_ר
פועל	הווה	שני 	נקבה	יחיד	מ_סו_ג_רת
פועל	הווה	שלישי	זכר 	יחיד	מ_סו_ג_ר
פועל	הווה	שלישי	נקבה	יחיד	מ_סו_ג_רת
פועל	הווה	ראשון	זכר 	רבים	מ_סו_ג_רים
פועל	הווה	ראשון	נקבה	רבים	מ_סו_ג_רות
פועל	הווה	שני 	זכר 	רבים	מ_סו_ג_רים
פועל	הווה	שני 	נקבה	רבים	מ_סו_ג_רות
פועל	הווה	שלישי	זכר 	רבים	מ_סו_ג_רים
פועל	הווה	שלישי	נקבה	רבים	מ_סו_ג_רות
פועל	עתיד	ראשון	זכר 	יחיד	א_סו_ג_ר
פועל	עתיד	ראשון	נקבה	יחיד	א_סו_ג_ר
פועל	עתיד	שני 	זכר 	יחיד	ת_סו_ג_ר
פועל	עתיד	שני 	נקבה	יחיד	ת_סו_ג_רי
פועל	עתיד	שלישי	זכר 	יחיד	י_סו_ג_ר
פועל	עתיד	שלישי	נקבה	יחיד	ת_סו_ג_ר
פועל	עתיד	ראשון	זכר 	רבים	נ_סו_ג_ר
פועל	עתיד	ראשון	נקבה	רבים	נ_סו_ג_ר
פועל	עתיד	שני 	זכר 	רבים	ת_סו_ג_רו
פועל	עתיד	שני 	נקבה	רבים	ת_סו_ג_רנה
פועל	עתיד	שלישי	זכר 	רבים	י_סו_ג_רו
פועל	עתיד	שלישי	נקבה	רבים	ת_סו_ג_רנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ס_ג_רתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ס_ג_רתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ס_ג_רת
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ס_ג_רת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_ס_גי_ר
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_ס_גי_ר
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ס_ג_רנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ס_ג_רנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ס_ג_רתם
הפעיל	עבר 	שני 	נקבה	רבים	ה_ס_ג_רתן
הפעיל	עבר 	שלישי	זכר 	רבים	ה_ס_גי_רו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_ס_גי_רו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_ס_גי_ר
הפעיל	הווה	ראשון	נקבה	יחיד	מ_ס_גי_רה
הפעיל	הווה	שני 	זכר 	יחיד	מ_ס_גי_ר
הפעיל	הווה	שני 	נקבה	יחיד	מ_ס_גי_רה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_ס_גי_ר
הפעיל	הווה	שלישי	נקבה	יחיד	מ_ס_גי_רה
הפעיל	הווה	ראשון	זכר 	רבים	מ_ס_גי_רים
הפעיל	הווה	ראשון	נקבה	רבים	מ_ס_גי_רות
הפעיל	הווה	שני 	זכר 	רבים	מ_ס_גי_רים
הפעיל	הווה	שני 	נקבה	רבים	מ_ס_גי_רות
הפעיל	הווה	שלישי	זכר 	רבים	מ_ס_גי_רים
הפעיל	הווה	שלישי	נקבה	רבים	מ_ס_גי_רות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_ס_גי_ר
הפעיל	עתיד	ראשון	נקבה	יחיד	א_ס_גי_ר
הפעיל	עתיד	שני 	זכר 	יחיד	ת_ס_גי_ר
הפעיל	עתיד	שני 	נקבה	יחיד	ת_ס_גי_רי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_ס_גי_ר
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_ס_גי_ר
הפעיל	עתיד	ראשון	זכר 	רבים	נ_ס_גי_ר
הפעיל	עתיד	ראשון	נקבה	רבים	נ_ס_גי_ר
הפעיל	עתיד	שני 	זכר 	רבים	ת_ס_גי_רו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ס_ג_רנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ס_גי_רו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ס_ג_רנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ס_ג_ר
הפעיל	ציווי	שני 	נקבה	יחיד	ה_ס_גי_רי
הפעיל	ציווי	שני 	זכר 	רבים	ה_ס_גי_רו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ס_ג_רנה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_ס_ג_רתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_ס_ג_רתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_ס_ג_רת
הופעל	עבר 	שני 	נקבה	יחיד	הו_ס_ג_רת
הופעל	עבר 	שלישי	זכר 	יחיד	הו_ס_ג_ר
הופעל	עבר 	שלישי	נקבה	יחיד	הו_ס_ג_רה
הופעל	עבר 	ראשון	זכר 	רבים	הו_ס_ג_רנו
הופעל	עבר 	ראשון	נקבה	רבים	הו_ס_ג_רנו
הופעל	עבר 	שני 	זכר 	רבים	הו_ס_ג_רתם
הופעל	עבר 	שני 	נקבה	רבים	הו_ס_ג_רתן
הופעל	עבר 	שלישי	זכר 	רבים	הו_ס_ג_רו
הופעל	עבר 	שלישי	נקבה	רבים	הו_ס_ג_רו
הופעל	הווה	ראשון	זכר 	יחיד	מו_ס_ג_ר
הופעל	הווה	ראשון	נקבה	יחיד	מו_ס_ג_רת
הופעל	הווה	שני 	זכר 	יחיד	מו_ס_ג_ר
הופעל	הווה	שני 	נקבה	יחיד	מו_ס_ג_רת
הופעל	הווה	שלישי	זכר 	יחיד	מו_ס_ג_ר
הופעל	הווה	שלישי	נקבה	יחיד	מו_ס_ג_רת
הופעל	הווה	ראשון	זכר 	רבים	מו_ס_ג_רים
הופעל	הווה	ראשון	נקבה	רבים	מו_ס_ג_רות
הופעל	הווה	שני 	זכר 	רבים	מו_ס_ג_רים
הופעל	הווה	שני 	נקבה	רבים	מו_ס_ג_רות
הופעל	הווה	שלישי	זכר 	רבים	מו_ס_ג_רים
הופעל	הווה	שלישי	נקבה	רבים	מו_ס_ג_רות
הופעל	עתיד	ראשון	זכר 	יחיד	או_ס_ג_ר
הופעל	עתיד	ראשון	נקבה	יחיד	או_ס_ג_ר
הופעל	עתיד	שני 	זכר 	יחיד	תו_ס_ג_ר
הופעל	עתיד	שני 	נקבה	יחיד	תו_ס_ג_רי
הופעל	עתיד	שלישי	זכר 	יחיד	יו_ס_ג_ר
הופעל	עתיד	שלישי	נקבה	יחיד	תו_ס_ג_ר
הופעל	עתיד	ראשון	זכר 	רבים	נו_ס_ג_ר
הופעל	עתיד	ראשון	נקבה	רבים	נו_ס_ג_ר
הופעל	עתיד	שני 	זכר 	רבים	תו_ס_ג_רו
הופעל	עתיד	שני 	נקבה	רבים	תו_ס_ג_רנה
הופעל	עתיד	שלישי	זכר 	רבים	יו_ס_ג_רו
הופעל	עתיד	שלישי	נקבה	רבים	תו_ס_ג_רנה
התפעל	עבר 	ראשון	זכר 	יחיד	ה_סת_ג_רתי
התפעל	עבר 	ראשון	נקבה	יחיד	ה_סת_ג_רתי
התפעל	עבר 	שני 	זכר 	יחיד	ה_סת_ג_רת
התפעל	עבר 	שני 	נקבה	יחיד	ה_סת_ג_רת
התפעל	עבר 	שלישי	זכר 	יחיד	ה_סת_ג_ר
התפעל	עבר 	שלישי	נקבה	יחיד	ה_סת_ג_רה
התפעל	עבר 	ראשון	זכר 	רבים	ה_סת_ג_רנו
התפעל	עבר 	ראשון	נקבה	רבים	ה_סת_ג_רנו
התפעל	עבר 	שני 	זכר 	רבים	ה_סת_ג_רתם
התפעל	עבר 	שני 	נקבה	רבים	ה_סת_ג_רתן
התפעל	עבר 	שלישי	זכר 	רבים	ה_סת_ג_רו
התפעל	עבר 	שלישי	נקבה	רבים	ה_סת_ג_רו
התפעל	הווה	ראשון	זכר 	יחיד	מ_סת_ג_ר
התפעל	הווה	ראשון	נקבה	יחיד	מ_סת_ג_רת
התפעל	הווה	שני 	זכר 	יחיד	מ_סת_ג_ר
התפעל	הווה	שני 	נקבה	יחיד	מ_סת_ג_רת
התפעל	הווה	שלישי	זכר 	יחיד	מ_סת_ג_ר
התפעל	הווה	שלישי	נקבה	יחיד	מ_סת_ג_רת
התפעל	הווה	ראשון	זכר 	רבים	מ_סת_ג_רים
התפעל	הווה	ראשון	נקבה	רבים	מ_סת_ג_רות
התפעל	הווה	שני 	זכר 	רבים	מ_סת_ג_רים
התפעל	הווה	שני 	נקבה	רבים	מ_סת_ג_רות
התפעל	הווה	שלישי	זכר 	רבים	מ_סת_ג_רים
התפעל	הווה	שלישי	נקבה	רבים	מ_סת_ג_רות
התפעל	עתיד	ראשון	זכר 	יחיד	א_סת_ג_ר
התפעל	עתיד	ראשון	נקבה	יחיד	א_סת_ג_ר
התפעל	עתיד	שני 	זכר 	יחיד	ת_סת_ג_ר
התפעל	עתיד	שני 	נקבה	יחיד	ת_סת_ג_רי
התפעל	עתיד	שלישי	זכר 	יחיד	י_סת_ג_ר
התפעל	עתיד	שלישי	נקבה	יחיד	ת_סת_ג_ר
התפעל	עתיד	ראשון	זכר 	רבים	נ_סת_ג_ר
התפעל	עתיד	ראשון	נקבה	רבים	נ_סת_ג_ר
התפעל	עתיד	שני 	זכר 	רבים	ת_סת_ג_רו
התפעל	עתיד	שני 	נקבה	רבים	ת_סת_ג_רנה
התפעל	עתיד	שלישי	זכר 	רבים	י_סת_ג_רו
התפעל	עתיד	שלישי	נקבה	רבים	ת_סת_ג_רנה
התפעל	ציווי	שני 	זכר 	יחיד	ה_סת_ג_ר
התפעל	ציווי	שני 	נקבה	יחיד	ה_סת_ג_רי
התפעל	ציווי	שני 	זכר 	רבים	ה_סת_ג_רו
התפעל	ציווי	שני 	נקבה	רבים	ה_סת_ג_רנה
