פיעל	עבר 	ראשון	זכר 	יחיד	_ת_ח_ק_רתי
פיעל	עבר 	ראשון	נקבה	יחיד	_ת_ח_ק_רתי
פיעל	עבר 	שלישי	זכר 	יחיד	_ת_ח_ק_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_ת_ח_ק_רה
פיעל	עבר 	ראשון	זכר 	רבים	_ת_ח_ק_רנו
פיעל	עבר 	ראשון	נקבה	רבים	_ת_ח_ק_רנו
פיעל	עבר 	ראשון	זכר 	יחיד	_תי_ח_ק_רתי
פיעל	עבר 	ראשון	נקבה	יחיד	_תי_ח_ק_רתי
פיעל	עבר 	שני 	זכר 	יחיד	_תי_ח_ק_רת
פיעל	עבר 	שני 	נקבה	יחיד	_תי_ח_ק_רת
פיעל	עבר 	שלישי	זכר 	יחיד	_תי_ח_ק_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_תי_ח_ק_רה
פיעל	עבר 	שני 	זכר 	יחיד	_תי_ח_ק_רת
פיעל	עבר 	שני 	נקבה	יחיד	_תי_ח_ק_רת
פיעל	עבר 	שני 	זכר 	רבים	_ת_ח_ק_רתם
פיעל	עבר 	שני 	נקבה	רבים	_ת_ח_ק_רתן
פיעל	עבר 	שלישי	זכר 	רבים	_ת_ח_ק_רו
פיעל	עבר 	שלישי	נקבה	רבים	_ת_ח_ק_רו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ת_ח_ק_ר
פיעל	הווה	ראשון	נקבה	יחיד	מ_ת_ח_ק_רת
פיעל	הווה	שני 	זכר 	יחיד	מ_ת_ח_ק_ר
פיעל	הווה	שני 	נקבה	יחיד	מ_ת_ח_ק_רת
פיעל	הווה	שלישי	זכר 	יחיד	מ_ת_ח_ק_ר
פיעל	הווה	שלישי	נקבה	יחיד	מ_ת_ח_ק_רת
פיעל	הווה	ראשון	זכר 	רבים	מ_ת_ח_ק_רים
פיעל	הווה	ראשון	נקבה	רבים	מ_ת_ח_ק_רות
פיעל	הווה	שני 	זכר 	רבים	מ_ת_ח_ק_רים
פיעל	הווה	שני 	נקבה	רבים	מ_ת_ח_ק_רות
פיעל	הווה	שלישי	זכר 	רבים	מ_ת_ח_ק_רים
פיעל	הווה	שלישי	נקבה	רבים	מ_ת_ח_ק_רות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ת_ח_ק_ר
פיעל	עתיד	ראשון	נקבה	יחיד	א_ת_ח_ק_ר
פיעל	עתיד	שני 	זכר 	יחיד	ת_ת_ח_ק_ר
פיעל	עתיד	שני 	נקבה	יחיד	ת_ת_ח_ק_רי
פיעל	עתיד	שלישי	זכר 	יחיד	י_ת_ח_ק_ר
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ת_ח_ק_ר
פיעל	עתיד	ראשון	זכר 	רבים	נ_ת_ח_ק_ר
פיעל	עתיד	ראשון	נקבה	רבים	נ_ת_ח_ק_ר
פיעל	עתיד	שני 	זכר 	רבים	ת_ת_ח_ק_רו
פיעל	עתיד	שני 	נקבה	רבים	ת_ת_ח_ק_רנה
פיעל	עתיד	שלישי	זכר 	רבים	י_ת_ח_ק_רו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ת_ח_ק_רנה
פיעל	ציווי	שני 	זכר 	יחיד	_ת_ח_ק_ר
פיעל	ציווי	שני 	נקבה	יחיד	_ת_ח_ק_רי
פיעל	ציווי	שני 	זכר 	רבים	_ת_ח_ק_רו
פיעל	ציווי	שני 	נקבה	רבים	_ת_ח_ק_רנה
פועל	עבר 	ראשון	זכר 	יחיד	_תו_ח_ק_רתי
פועל	עבר 	ראשון	נקבה	יחיד	_תו_ח_ק_רתי
פועל	עבר 	שני 	זכר 	יחיד	_תו_ח_ק_רת
פועל	עבר 	שני 	נקבה	יחיד	_תו_ח_ק_רת
פועל	עבר 	שלישי	זכר 	יחיד	_תו_ח_ק_ר
פועל	עבר 	שלישי	נקבה	יחיד	_תו_ח_ק_רה
פועל	עבר 	ראשון	זכר 	רבים	_תו_ח_ק_רנו
פועל	עבר 	ראשון	נקבה	רבים	_תו_ח_ק_רנו
פועל	עבר 	שני 	זכר 	רבים	_תו_ח_ק_רתם
פועל	עבר 	שני 	נקבה	רבים	_תו_ח_ק_רתן
פועל	עבר 	שלישי	זכר 	רבים	_תו_ח_ק_רו
פועל	עבר 	שלישי	נקבה	רבים	_תו_ח_ק_רו
פועל	הווה	ראשון	זכר 	יחיד	מ_תו_ח_ק_ר
פועל	הווה	ראשון	נקבה	יחיד	מ_תו_ח_ק_רת
פועל	הווה	שני 	זכר 	יחיד	מ_תו_ח_ק_ר
פועל	הווה	שני 	נקבה	יחיד	מ_תו_ח_ק_רת
פועל	הווה	שלישי	זכר 	יחיד	מ_תו_ח_ק_ר
פועל	הווה	שלישי	נקבה	יחיד	מ_תו_ח_ק_רת
פועל	הווה	ראשון	זכר 	רבים	מ_תו_ח_ק_רים
פועל	הווה	ראשון	נקבה	רבים	מ_תו_ח_ק_רות
פועל	הווה	שני 	זכר 	רבים	מ_תו_ח_ק_רים
פועל	הווה	שני 	נקבה	רבים	מ_תו_ח_ק_רות
פועל	הווה	שלישי	זכר 	רבים	מ_תו_ח_ק_רים
פועל	הווה	שלישי	נקבה	רבים	מ_תו_ח_ק_רות
פועל	עתיד	ראשון	זכר 	יחיד	א_תו_ח_ק_ר
פועל	עתיד	ראשון	נקבה	יחיד	א_תו_ח_ק_ר
פועל	עתיד	שני 	זכר 	יחיד	ת_תו_ח_ק_ר
פועל	עתיד	שני 	נקבה	יחיד	ת_תו_ח_ק_רי
פועל	עתיד	שלישי	זכר 	יחיד	י_תו_ח_ק_ר
פועל	עתיד	שלישי	נקבה	יחיד	ת_תו_ח_ק_ר
פועל	עתיד	ראשון	זכר 	רבים	נ_תו_ח_ק_ר
פועל	עתיד	ראשון	נקבה	רבים	נ_תו_ח_ק_ר
פועל	עתיד	שני 	זכר 	רבים	ת_תו_ח_ק_רו
פועל	עתיד	שני 	נקבה	רבים	ת_תו_ח_ק_רנה
פועל	עתיד	שלישי	זכר 	רבים	י_תו_ח_ק_רו
פועל	עתיד	שלישי	נקבה	רבים	ת_תו_ח_ק_רנה
התפעל	עבר 	ראשון	זכר 	יחיד	ה_ת_ח_ק_רתי
התפעל	עבר 	ראשון	נקבה	יחיד	ה_ת_ח_ק_רתי
התפעל	עבר 	שני 	זכר 	יחיד	ה_ת_ח_ק_רת
התפעל	עבר 	שני 	נקבה	יחיד	ה_ת_ח_ק_רת
התפעל	עבר 	שלישי	זכר 	יחיד	ה_ת_ח_ק_ר
התפעל	עבר 	שלישי	נקבה	יחיד	ה_ת_ח_ק_רה
התפעל	עבר 	ראשון	זכר 	רבים	ה_ת_ח_ק_רנו
התפעל	עבר 	ראשון	נקבה	רבים	ה_ת_ח_ק_רנו
התפעל	עבר 	שני 	זכר 	רבים	ה_ת_ח_ק_רתם
התפעל	עבר 	שני 	נקבה	רבים	ה_ת_ח_ק_רתן
התפעל	עבר 	שלישי	זכר 	רבים	ה_ת_ח_ק_רו
התפעל	עבר 	שלישי	נקבה	רבים	ה_ת_ח_ק_רו
התפעל	הווה	ראשון	זכר 	יחיד	מ_ת_ח_ק_ר
התפעל	הווה	ראשון	נקבה	יחיד	מ_ת_ח_ק_רת
התפעל	הווה	שני 	זכר 	יחיד	מ_ת_ח_ק_ר
התפעל	הווה	שני 	נקבה	יחיד	מ_ת_ח_ק_רת
התפעל	הווה	שלישי	זכר 	יחיד	מ_ת_ח_ק_ר
התפעל	הווה	שלישי	נקבה	יחיד	מ_ת_ח_ק_רת
התפעל	הווה	ראשון	זכר 	רבים	מ_ת_ח_ק_רים
התפעל	הווה	ראשון	נקבה	רבים	מ_ת_ח_ק_רות
התפעל	הווה	שני 	זכר 	רבים	מ_ת_ח_ק_רים
התפעל	הווה	שני 	נקבה	רבים	מ_ת_ח_ק_רות
התפעל	הווה	שלישי	זכר 	רבים	מ_ת_ח_ק_רים
התפעל	הווה	שלישי	נקבה	רבים	מ_ת_ח_ק_רות
התפעל	עתיד	ראשון	זכר 	יחיד	א_ת_ח_ק_ר
התפעל	עתיד	ראשון	נקבה	יחיד	א_ת_ח_ק_ר
התפעל	עתיד	שני 	זכר 	יחיד	ת_ת_ח_ק_ר
התפעל	עתיד	שני 	נקבה	יחיד	ת_ת_ח_ק_רי
התפעל	עתיד	שני 	זכר 	יחיד	ת_ת_ח_ק_ר
התפעל	עתיד	שני 	נקבה	יחיד	ת_ת_ח_ק_רי
התפעל	עתיד	שלישי	זכר 	יחיד	י_ת_ח_ק_ר
התפעל	עתיד	שלישי	נקבה	יחיד	ת_ת_ח_ק_ר
התפעל	עתיד	שלישי	נקבה	יחיד	ת_ת_ח_ק_ר
התפעל	עתיד	ראשון	זכר 	רבים	נ_ת_ח_ק_ר
התפעל	עתיד	ראשון	נקבה	רבים	נ_ת_ח_ק_ר
התפעל	עתיד	שני 	זכר 	רבים	ת_ת_ח_ק_רו
התפעל	עתיד	שני 	נקבה	רבים	ת_ת_ח_ק_רנה
התפעל	עתיד	שני 	זכר 	רבים	ת_ת_ח_ק_רו
התפעל	עתיד	שני 	נקבה	רבים	ת_ת_ח_ק_רנה
התפעל	עתיד	שלישי	זכר 	רבים	י_ת_ח_ק_רו
התפעל	עתיד	שלישי	נקבה	רבים	ת_ת_ח_ק_רנה
התפעל	עתיד	שלישי	נקבה	רבים	ת_ת_ח_ק_רנה
התפעל	ציווי	שני 	זכר 	יחיד	ה_ת_ח_ק_ר
התפעל	ציווי	שני 	נקבה	יחיד	ה_ת_ח_ק_רי
התפעל	ציווי	שני 	זכר 	רבים	ה_ת_ח_ק_רו
התפעל	ציווי	שני 	נקבה	רבים	ה_ת_ח_ק_רנה_