פיעל	עבר 	ראשון	זכר 	יחיד	_ט_ר_פ_דתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_ט_ר_פ_דתי_
פיעל	עבר 	שלישי	זכר 	יחיד	_ט_ר_פ_ד_
פיעל	עבר 	שלישי	נקבה	יחיד	_ט_ר_פ_דה_
פיעל	עבר 	ראשון	זכר 	רבים	_ט_ר_פ_דנו_
פיעל	עבר 	ראשון	נקבה	רבים	_ט_ר_פ_דנו_
פיעל	עבר 	ראשון	זכר 	יחיד	_טי_ר_פ_דתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_טי_ר_פ_דתי_
פיעל	עבר 	שני 	זכר 	יחיד	_טי_ר_פ_דת_
פיעל	עבר 	שני 	נקבה	יחיד	_טי_ר_פ_דת_
פיעל	עבר 	שלישי	זכר 	יחיד	_טי_ר_פ_ד_
פיעל	עבר 	שלישי	נקבה	יחיד	_טי_ר_פ_דה_
פיעל	עבר 	שני 	זכר 	יחיד	_טי_ר_פ_דת_
פיעל	עבר 	שני 	נקבה	יחיד	_טי_ר_פ_דת_
פיעל	עבר 	שני 	זכר 	רבים	_ט_ר_פ_דתם_
פיעל	עבר 	שני 	נקבה	רבים	_ט_ר_פ_דתן_
פיעל	עבר 	שלישי	זכר 	רבים	_ט_ר_פ_דו_
פיעל	עבר 	שלישי	נקבה	רבים	_ט_ר_פ_דו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_ט_ר_פ_ד_
פיעל	הווה	ראשון	נקבה	יחיד	מ_ט_ר_פ_דת_
פיעל	הווה	שני 	זכר 	יחיד	מ_ט_ר_פ_ד_
פיעל	הווה	שני 	נקבה	יחיד	מ_ט_ר_פ_דת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_ט_ר_פ_ד_
פיעל	הווה	שלישי	נקבה	יחיד	מ_ט_ר_פ_דת_
פיעל	הווה	ראשון	זכר 	רבים	מ_ט_ר_פ_דים_
פיעל	הווה	ראשון	נקבה	רבים	מ_ט_ר_פ_דות_
פיעל	הווה	שני 	זכר 	רבים	מ_ט_ר_פ_דים_
פיעל	הווה	שני 	נקבה	רבים	מ_ט_ר_פ_דות_
פיעל	הווה	שלישי	זכר 	רבים	מ_ט_ר_פ_דים_
פיעל	הווה	שלישי	נקבה	רבים	מ_ט_ר_פ_דות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_ט_ר_פ_ד_
פיעל	עתיד	ראשון	נקבה	יחיד	א_ט_ר_פ_ד_
פיעל	עתיד	שני 	זכר 	יחיד	ת_ט_ר_פ_ד_
פיעל	עתיד	שני 	נקבה	יחיד	ת_ט_ר_פ_די_
פיעל	עתיד	שלישי	זכר 	יחיד	י_ט_ר_פ_ד_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ט_ר_פ_ד_
פיעל	עתיד	ראשון	זכר 	רבים	נ_ט_ר_פ_ד_
פיעל	עתיד	ראשון	נקבה	רבים	נ_ט_ר_פ_ד_
פיעל	עתיד	שני 	זכר 	רבים	ת_ט_ר_פ_דו_
פיעל	עתיד	שני 	נקבה	רבים	ת_ט_ר_פ_דנה_
פיעל	עתיד	שלישי	זכר 	רבים	י_ט_ר_פ_דו_
פיעל	עתיד	שלישי	נקבה	רבים	ת_ט_ר_פ_דנה_
פיעל	ציווי	שני 	זכר 	יחיד	_ט_ר_פ_ד_
פיעל	ציווי	שני 	נקבה	יחיד	_ט_ר_פ_די_
פיעל	ציווי	שני 	זכר 	רבים	_ט_ר_פ_דו_
פיעל	ציווי	שני 	נקבה	רבים	_ט_ר_פ_דנה_
פועל	עבר 	ראשון	זכר 	יחיד	_טו_ר_פ_דתי_
פועל	עבר 	ראשון	נקבה	יחיד	_טו_ר_פ_דתי_
פועל	עבר 	שני 	זכר 	יחיד	_טו_ר_פ_דת_
פועל	עבר 	שני 	נקבה	יחיד	_טו_ר_פ_דת_
פועל	עבר 	שלישי	זכר 	יחיד	_טו_ר_פ_ד_
פועל	עבר 	שלישי	נקבה	יחיד	_טו_ר_פ_דה_
פועל	עבר 	ראשון	זכר 	רבים	_טו_ר_פ_דנו_
פועל	עבר 	ראשון	נקבה	רבים	_טו_ר_פ_דנו_
פועל	עבר 	שני 	זכר 	רבים	_טו_ר_פ_דתם_
פועל	עבר 	שני 	נקבה	רבים	_טו_ר_פ_דתן_
פועל	עבר 	שלישי	זכר 	רבים	_טו_ר_פ_דו_
פועל	עבר 	שלישי	נקבה	רבים	_טו_ר_פ_דו_
פועל	הווה	ראשון	זכר 	יחיד	מ_טו_ר_פ_ד_
פועל	הווה	ראשון	נקבה	יחיד	מ_טו_ר_פ_דת_
פועל	הווה	שני 	זכר 	יחיד	מ_טו_ר_פ_ד_
פועל	הווה	שני 	נקבה	יחיד	מ_טו_ר_פ_דת_
פועל	הווה	שלישי	זכר 	יחיד	מ_טו_ר_פ_ד_
פועל	הווה	שלישי	נקבה	יחיד	מ_טו_ר_פ_דת_
פועל	הווה	ראשון	זכר 	רבים	מ_טו_ר_פ_דים_
פועל	הווה	ראשון	נקבה	רבים	מ_טו_ר_פ_דות_
פועל	הווה	שני 	זכר 	רבים	מ_טו_ר_פ_דים_
פועל	הווה	שני 	נקבה	רבים	מ_טו_ר_פ_דות_
פועל	הווה	שלישי	זכר 	רבים	מ_טו_ר_פ_דים_
פועל	הווה	שלישי	נקבה	רבים	מ_טו_ר_פ_דות_
פועל	עתיד	ראשון	זכר 	יחיד	א_טו_ר_פ_ד_
פועל	עתיד	ראשון	נקבה	יחיד	א_טו_ר_פ_ד_
פועל	עתיד	שני 	זכר 	יחיד	ת_טו_ר_פ_ד_
פועל	עתיד	שני 	נקבה	יחיד	ת_טו_ר_פ_די_
פועל	עתיד	שלישי	זכר 	יחיד	י_טו_ר_פ_ד_
פועל	עתיד	שלישי	נקבה	יחיד	ת_טו_ר_פ_ד_
פועל	עתיד	ראשון	זכר 	רבים	נ_טו_ר_פ_ד_
פועל	עתיד	ראשון	נקבה	רבים	נ_טו_ר_פ_ד_
פועל	עתיד	שני 	זכר 	רבים	ת_טו_ר_פ_דו_
פועל	עתיד	שני 	נקבה	רבים	ת_טו_ר_פ_דנה_
פועל	עתיד	שלישי	זכר 	רבים	י_טו_ר_פ_דו_
פועל	עתיד	שלישי	נקבה	רבים	ת_טו_ר_פ_דנה_
התפעל	עבר 	ראשון	זכר 	יחיד	הת_ט_ר_פ_דתי_
התפעל	עבר 	ראשון	נקבה	יחיד	הת_ט_ר_פ_דתי_
התפעל	עבר 	שני 	זכר 	יחיד	הת_ט_ר_פ_דת_
התפעל	עבר 	שני 	נקבה	יחיד	הת_ט_ר_פ_דת_
התפעל	עבר 	שלישי	זכר 	יחיד	הת_ט_ר_פ_ד_
התפעל	עבר 	שלישי	נקבה	יחיד	הת_ט_ר_פ_דה_
התפעל	עבר 	ראשון	זכר 	רבים	הת_ט_ר_פ_דנו_
התפעל	עבר 	ראשון	נקבה	רבים	הת_ט_ר_פ_דנו_
התפעל	עבר 	שני 	זכר 	רבים	הת_ט_ר_פ_דתם_
התפעל	עבר 	שני 	נקבה	רבים	הת_ט_ר_פ_דתן_
התפעל	עבר 	שלישי	זכר 	רבים	הת_ט_ר_פ_דו_
התפעל	עבר 	שלישי	נקבה	רבים	הת_ט_ר_פ_דו_
התפעל	עבר 	ראשון	זכר 	יחיד	ה_ט_ר_פ_דתי_
התפעל	עבר 	ראשון	נקבה	יחיד	ה_ט_ר_פ_דתי_
התפעל	עבר 	שני 	זכר 	יחיד	ה_ט_ר_פ_דת_
התפעל	עבר 	שני 	נקבה	יחיד	ה_ט_ר_פ_דת_
התפעל	עבר 	שלישי	זכר 	יחיד	ה_ט_ר_פ_ד_
התפעל	עבר 	שלישי	נקבה	יחיד	ה_ט_ר_פ_דה_
התפעל	עבר 	ראשון	זכר 	רבים	ה_ט_ר_פ_דנו_
התפעל	עבר 	ראשון	נקבה	רבים	ה_ט_ר_פ_דנו_
התפעל	עבר 	שני 	זכר 	רבים	ה_ט_ר_פ_דתם_
התפעל	עבר 	שני 	נקבה	רבים	ה_ט_ר_פ_דתן_
התפעל	עבר 	שלישי	זכר 	רבים	ה_ט_ר_פ_דו_
התפעל	עבר 	שלישי	נקבה	רבים	ה_ט_ר_פ_דו_
התפעל	הווה	ראשון	זכר 	יחיד	מת_ט_ר_פ_ד_
התפעל	הווה	ראשון	נקבה	יחיד	מת_ט_ר_פ_דת_
התפעל	הווה	שני 	זכר 	יחיד	מת_ט_ר_פ_ד_
התפעל	הווה	שני 	נקבה	יחיד	מת_ט_ר_פ_דת_
התפעל	הווה	שלישי	זכר 	יחיד	מת_ט_ר_פ_ד_
התפעל	הווה	שלישי	נקבה	יחיד	מת_ט_ר_פ_דת_
התפעל	הווה	ראשון	זכר 	רבים	מת_ט_ר_פ_דים_
התפעל	הווה	ראשון	נקבה	רבים	מת_ט_ר_פ_דות_
התפעל	הווה	שני 	זכר 	רבים	מת_ט_ר_פ_דים_
התפעל	הווה	שני 	נקבה	רבים	מת_ט_ר_פ_דות_
התפעל	הווה	שלישי	זכר 	רבים	מת_ט_ר_פ_דים_
התפעל	הווה	שלישי	נקבה	רבים	מת_ט_ר_פ_דות_
התפעל	הווה	ראשון	זכר 	יחיד	מ_ט_ר_פ_ד_
התפעל	הווה	ראשון	נקבה	יחיד	מ_ט_ר_פ_דת_
התפעל	הווה	שני 	זכר 	יחיד	מ_ט_ר_פ_ד_
התפעל	הווה	שני 	נקבה	יחיד	מ_ט_ר_פ_דת_
התפעל	הווה	שלישי	זכר 	יחיד	מ_ט_ר_פ_ד_
התפעל	הווה	שלישי	נקבה	יחיד	מ_ט_ר_פ_דת_
התפעל	הווה	ראשון	זכר 	רבים	מ_ט_ר_פ_דים_
התפעל	הווה	ראשון	נקבה	רבים	מ_ט_ר_פ_דות_
התפעל	הווה	שני 	זכר 	רבים	מ_ט_ר_פ_דים_
התפעל	הווה	שני 	נקבה	רבים	מ_ט_ר_פ_דות_
התפעל	הווה	שלישי	זכר 	רבים	מ_ט_ר_פ_דים_
התפעל	הווה	שלישי	נקבה	רבים	מ_ט_ר_פ_דות_
התפעל	עתיד	ראשון	זכר 	יחיד	את_ט_ר_פ_ד_
התפעל	עתיד	ראשון	נקבה	יחיד	את_ט_ר_פ_ד_
התפעל	עתיד	שני 	זכר 	יחיד	תת_ט_ר_פ_ד_
התפעל	עתיד	שני 	נקבה	יחיד	תת_ט_ר_פ_די_
התפעל	עתיד	שני 	זכר 	יחיד	ת_ט_ר_פ_ד_
התפעל	עתיד	שני 	נקבה	יחיד	ת_ט_ר_פ_די_
התפעל	עתיד	שלישי	זכר 	יחיד	ית_ט_ר_פ_ד_
התפעל	עתיד	שלישי	זכר 	יחיד	י_ט_ר_פ_ד_
התפעל	עתיד	שלישי	נקבה	יחיד	תת_ט_ר_פ_ד_
התפעל	עתיד	שלישי	נקבה	יחיד	ת_ט_ר_פ_ד_
התפעל	עתיד	ראשון	זכר 	רבים	נת_ט_ר_פ_ד_
התפעל	עתיד	ראשון	נקבה	רבים	נת_ט_ר_פ_ד_
התפעל	עתיד	שני 	זכר 	רבים	תת_ט_ר_פ_דו_
התפעל	עתיד	שני 	נקבה	רבים	תת_ט_ר_פ_דנה_
התפעל	עתיד	שני 	זכר 	רבים	ת_ט_ר_פ_דו_
התפעל	עתיד	שני 	נקבה	רבים	ת_ט_ר_פ_דנה_
התפעל	עתיד	שלישי	זכר 	רבים	ית_ט_ר_פ_דו_
התפעל	עתיד	שלישי	זכר 	רבים	י_ט_ר_פ_דו_
התפעל	עתיד	שלישי	נקבה	רבים	תת_ט_ר_פ_דנה_
התפעל	עתיד	שלישי	נקבה	רבים	ת_ט_ר_פ_דנה_
התפעל	ציווי	שני 	זכר 	יחיד	הת_ט_ר_פ_ד_
התפעל	ציווי	שני 	נקבה	יחיד	הת_ט_ר_פ_די_
התפעל	ציווי	שני 	זכר 	רבים	הת_ט_ר_פ_דו_
התפעל	ציווי	שני 	נקבה	רבים	הת_ט_ר_פ_דנה_
התפעל	ציווי	שני 	זכר 	יחיד	ה_ט_ר_פ_ד_
התפעל	ציווי	שני 	נקבה	יחיד	ה_ט_ר_פ_די_
התפעל	ציווי	שני 	זכר 	רבים	ה_ט_ר_פ_דו_
התפעל	ציווי	שני 	נקבה	רבים	ה_ט_ר_פ_דנה_