פיעל	עבר 	ראשון	זכר 	יחיד	_צ_נ_ת_רתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_צ_נ_ת_רתי_
פיעל	עבר 	שלישי	זכר 	יחיד	_צ_נ_ת_ר_
פיעל	עבר 	שלישי	נקבה	יחיד	_צ_נ_ת_רה_
פיעל	עבר 	ראשון	זכר 	רבים	_צ_נ_ת_רנו_
פיעל	עבר 	ראשון	נקבה	רבים	_צ_נ_ת_רנו_
פיעל	עבר 	ראשון	זכר 	יחיד	_צי_נ_ת_רתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_צי_נ_ת_רתי_
פיעל	עבר 	שני 	זכר 	יחיד	_צי_נ_ת_רת_
פיעל	עבר 	שני 	נקבה	יחיד	_צי_נ_ת_רת_
פיעל	עבר 	שלישי	זכר 	יחיד	_צי_נ_ת_ר_
פיעל	עבר 	שלישי	נקבה	יחיד	_צי_נ_ת_רה_
פיעל	עבר 	שני 	זכר 	יחיד	_צי_נ_ת_רת_
פיעל	עבר 	שני 	נקבה	יחיד	_צי_נ_ת_רת_
פיעל	עבר 	שני 	זכר 	רבים	_צ_נ_ת_רתם_
פיעל	עבר 	שני 	נקבה	רבים	_צ_נ_ת_רתן_
פיעל	עבר 	שלישי	זכר 	רבים	_צ_נ_ת_רו_
פיעל	עבר 	שלישי	נקבה	רבים	_צ_נ_ת_רו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_צ_נ_ת_ר_
פיעל	הווה	ראשון	נקבה	יחיד	מ_צ_נ_ת_רת_
פיעל	הווה	שני 	זכר 	יחיד	מ_צ_נ_ת_ר_
פיעל	הווה	שני 	נקבה	יחיד	מ_צ_נ_ת_רת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_צ_נ_ת_ר_
פיעל	הווה	שלישי	נקבה	יחיד	מ_צ_נ_ת_רת_
פיעל	הווה	ראשון	זכר 	רבים	מ_צ_נ_ת_רים_
פיעל	הווה	ראשון	נקבה	רבים	מ_צ_נ_ת_רות_
פיעל	הווה	שני 	זכר 	רבים	מ_צ_נ_ת_רים_
פיעל	הווה	שני 	נקבה	רבים	מ_צ_נ_ת_רות_
פיעל	הווה	שלישי	זכר 	רבים	מ_צ_נ_ת_רים_
פיעל	הווה	שלישי	נקבה	רבים	מ_צ_נ_ת_רות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_צ_נ_ת_ר_
פיעל	עתיד	ראשון	נקבה	יחיד	א_צ_נ_ת_ר_
פיעל	עתיד	שני 	זכר 	יחיד	ת_צ_נ_ת_ר_
פיעל	עתיד	שני 	נקבה	יחיד	ת_צ_נ_ת_רי_
פיעל	עתיד	שלישי	זכר 	יחיד	י_צ_נ_ת_ר_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_צ_נ_ת_ר_
פיעל	עתיד	ראשון	זכר 	רבים	נ_צ_נ_ת_ר_
פיעל	עתיד	ראשון	נקבה	רבים	נ_צ_נ_ת_ר_
פיעל	עתיד	שני 	זכר 	רבים	ת_צ_נ_ת_רו_
פיעל	עתיד	שני 	נקבה	רבים	ת_צ_נ_ת_רנה_
פיעל	עתיד	שלישי	זכר 	רבים	י_צ_נ_ת_רו_
פיעל	עתיד	שלישי	נקבה	רבים	ת_צ_נ_ת_רנה_
פיעל	ציווי	שני 	זכר 	יחיד	_צ_נ_ת_ר_
פיעל	ציווי	שני 	נקבה	יחיד	_צ_נ_ת_רי_
פיעל	ציווי	שני 	זכר 	רבים	_צ_נ_ת_רו_
פיעל	ציווי	שני 	נקבה	רבים	_צ_נ_ת_רנה_
פועל	עבר 	ראשון	זכר 	יחיד	_צו_נ_ת_רתי_
פועל	עבר 	ראשון	נקבה	יחיד	_צו_נ_ת_רתי_
פועל	עבר 	שני 	זכר 	יחיד	_צו_נ_ת_רת_
פועל	עבר 	שני 	נקבה	יחיד	_צו_נ_ת_רת_
פועל	עבר 	שלישי	זכר 	יחיד	_צו_נ_ת_ר_
פועל	עבר 	שלישי	נקבה	יחיד	_צו_נ_ת_רה_
פועל	עבר 	ראשון	זכר 	רבים	_צו_נ_ת_רנו_
פועל	עבר 	ראשון	נקבה	רבים	_צו_נ_ת_רנו_
פועל	עבר 	שני 	זכר 	רבים	_צו_נ_ת_רתם_
פועל	עבר 	שני 	נקבה	רבים	_צו_נ_ת_רתן_
פועל	עבר 	שלישי	זכר 	רבים	_צו_נ_ת_רו_
פועל	עבר 	שלישי	נקבה	רבים	_צו_נ_ת_רו_
פועל	הווה	ראשון	זכר 	יחיד	מ_צו_נ_ת_ר_
פועל	הווה	ראשון	נקבה	יחיד	מ_צו_נ_ת_רת_
פועל	הווה	שני 	זכר 	יחיד	מ_צו_נ_ת_ר_
פועל	הווה	שני 	נקבה	יחיד	מ_צו_נ_ת_רת_
פועל	הווה	שלישי	זכר 	יחיד	מ_צו_נ_ת_ר_
פועל	הווה	שלישי	נקבה	יחיד	מ_צו_נ_ת_רת_
פועל	הווה	ראשון	זכר 	רבים	מ_צו_נ_ת_רים_
פועל	הווה	ראשון	נקבה	רבים	מ_צו_נ_ת_רות_
פועל	הווה	שני 	זכר 	רבים	מ_צו_נ_ת_רים_
פועל	הווה	שני 	נקבה	רבים	מ_צו_נ_ת_רות_
פועל	הווה	שלישי	זכר 	רבים	מ_צו_נ_ת_רים_
פועל	הווה	שלישי	נקבה	רבים	מ_צו_נ_ת_רות_
פועל	עתיד	ראשון	זכר 	יחיד	א_צו_נ_ת_ר_
פועל	עתיד	ראשון	נקבה	יחיד	א_צו_נ_ת_ר_
פועל	עתיד	שני 	זכר 	יחיד	ת_צו_נ_ת_ר_
פועל	עתיד	שני 	נקבה	יחיד	ת_צו_נ_ת_רי_
פועל	עתיד	שלישי	זכר 	יחיד	י_צו_נ_ת_ר_
פועל	עתיד	שלישי	נקבה	יחיד	ת_צו_נ_ת_ר_
פועל	עתיד	ראשון	זכר 	רבים	נ_צו_נ_ת_ר_
פועל	עתיד	ראשון	נקבה	רבים	נ_צו_נ_ת_ר_
פועל	עתיד	שני 	זכר 	רבים	ת_צו_נ_ת_רו_
פועל	עתיד	שני 	נקבה	רבים	ת_צו_נ_ת_רנה_
פועל	עתיד	שלישי	זכר 	רבים	י_צו_נ_ת_רו_
פועל	עתיד	שלישי	נקבה	רבים	ת_צו_נ_ת_רנה_
התפעל	עבר 	ראשון	זכר 	יחיד	ה_צט_נ_ת_רתי_
התפעל	עבר 	ראשון	נקבה	יחיד	ה_צט_נ_ת_רתי_
התפעל	עבר 	שני 	זכר 	יחיד	ה_צט_נ_ת_רת_
התפעל	עבר 	שני 	נקבה	יחיד	ה_צט_נ_ת_רת_
התפעל	עבר 	שלישי	זכר 	יחיד	ה_צט_נ_ת_ר_
התפעל	עבר 	שלישי	נקבה	יחיד	ה_צט_נ_ת_רה_
התפעל	עבר 	ראשון	זכר 	רבים	ה_צט_נ_ת_רנו_
התפעל	עבר 	ראשון	נקבה	רבים	ה_צט_נ_ת_רנו_
התפעל	עבר 	שני 	זכר 	רבים	ה_צט_נ_ת_רתם_
התפעל	עבר 	שני 	נקבה	רבים	ה_צט_נ_ת_רתן_
התפעל	עבר 	שלישי	זכר 	רבים	ה_צט_נ_ת_רו_
התפעל	עבר 	שלישי	נקבה	רבים	ה_צט_נ_ת_רו_
התפעל	הווה	ראשון	זכר 	יחיד	מ_צט_נ_ת_ר_
התפעל	הווה	ראשון	נקבה	יחיד	מ_צט_נ_ת_רת_
התפעל	הווה	שני 	זכר 	יחיד	מ_צט_נ_ת_ר_
התפעל	הווה	שני 	נקבה	יחיד	מ_צט_נ_ת_רת_
התפעל	הווה	שלישי	זכר 	יחיד	מ_צט_נ_ת_ר_
התפעל	הווה	שלישי	נקבה	יחיד	מ_צט_נ_ת_רת_
התפעל	הווה	ראשון	זכר 	רבים	מ_צט_נ_ת_רים_
התפעל	הווה	ראשון	נקבה	רבים	מ_צט_נ_ת_רות_
התפעל	הווה	שני 	זכר 	רבים	מ_צט_נ_ת_רים_
התפעל	הווה	שני 	נקבה	רבים	מ_צט_נ_ת_רות_
התפעל	הווה	שלישי	זכר 	רבים	מ_צט_נ_ת_רים_
התפעל	הווה	שלישי	נקבה	רבים	מ_צט_נ_ת_רות_
התפעל	עתיד	ראשון	זכר 	יחיד	א_צט_נ_ת_ר_
התפעל	עתיד	ראשון	נקבה	יחיד	א_צט_נ_ת_ר_
התפעל	עתיד	שני 	זכר 	יחיד	ת_צט_נ_ת_ר_
התפעל	עתיד	שני 	נקבה	יחיד	ת_צט_נ_ת_רי_
התפעל	עתיד	שלישי	זכר 	יחיד	י_צט_נ_ת_ר_
התפעל	עתיד	שלישי	נקבה	יחיד	ת_צט_נ_ת_ר_
התפעל	עתיד	ראשון	זכר 	רבים	נ_צט_נ_ת_ר_
התפעל	עתיד	ראשון	נקבה	רבים	נ_צט_נ_ת_ר_
התפעל	עתיד	שני 	זכר 	רבים	ת_צט_נ_ת_רו_
התפעל	עתיד	שני 	נקבה	רבים	ת_צט_נ_ת_רנה_
התפעל	עתיד	שלישי	זכר 	רבים	י_צט_נ_ת_רו_
התפעל	עתיד	שלישי	נקבה	רבים	ת_צט_נ_ת_רנה_
התפעל	ציווי	שני 	זכר 	יחיד	ה_צט_נ_ת_ר_
התפעל	ציווי	שני 	נקבה	יחיד	ה_צט_נ_ת_רי_
התפעל	ציווי	שני 	זכר 	רבים	ה_צט_נ_ת_רו_
התפעל	ציווי	שני 	נקבה	רבים	ה_צט_נ_ת_רנה